start_city,destination_city,distance_km,vehicle_type,fuel_type,mileage,fuel_price,passengers,departure_hour,traffic_level,weather_condition,toll_cost,parking_cost,estimated_time_minutes,fuel_consumption_litres,total_trip_cost
Pune,Mumbai,168.45,Hatchback,Diesel,15.99,95.76,5,8,Medium,Clear,278.03,80.0,211.37,11.363,1525.28
Vadodara,Mumbai,430.7,Hatchback,CNG,19.25,74.97,2,11,Medium,Rain,576.89,120.0,385.42,23.847,2735.08
Rajkot,Ahmedabad,235.96,SUV,CNG,12.41,73.4,1,0,Medium,Clear,265.86,80.0,276.59,19.728,1979.73
Ahmedabad,Udaipur,266.57,Sedan,Diesel,16.38,93.62,3,22,Medium,Clear,225.75,0.0,259.12,17.226,2013.42
Ahmedabad,Udaipur,282.93,Sedan,Diesel,14.48,89.78,1,7,High,Rain,322.47,150.0,402.2,22.094,2621.41
Bengaluru,Mysuru,144.89,Sedan,Petrol,17.35,102.63,2,9,Low,Clear,237.13,80.0,141.69,7.776,1211.33
Vadodara,Mumbai,416.66,Hatchback,CNG,18.37,74.9,4,22,Low,Rain,479.86,120.0,308.82,21.303,2426.34
Ahmedabad,Surat,264.83,Sedan,CNG,16.42,76.75,2,12,Low,Clear,436.4,120.0,218.08,15.253,1911.27
Vadodara,Mumbai,459.64,Sedan,Diesel,16.54,88.45,2,3,High,Clear,441.06,80.0,396.35,31.833,3598.32
Ahmedabad,Vadodara,123.05,SUV,Petrol,12.14,100.51,1,23,Medium,Clear,181.69,120.0,127.35,10.335,1466.21
Rajkot,Ahmedabad,216.17,Hatchback,Petrol,16.7,105.12,4,14,Medium,Cloudy,372.61,60.0,252.8,13.06,1962.4
Surat,Mumbai,315.26,SUV,Petrol,9.66,103.49,5,20,Low,Clear,469.67,150.0,225.85,31.171,4086.11
Ahmedabad,Vadodara,115.4,Hatchback,CNG,16.04,79.87,5,3,Medium,Rain,164.42,60.0,133.92,7.488,876.55
Pune,Mumbai,163.25,Hatchback,Diesel,22.65,89.23,1,23,Medium,Fog,249.83,80.0,253.86,7.781,1112.8
Vadodara,Mumbai,454.64,Sedan,Petrol,14.78,106.25,5,14,Medium,Rain,502.03,80.0,390.26,32.437,4323.37
Pune,Mumbai,158.15,Sedan,Diesel,15.17,95.98,2,20,Low,Clear,359.18,120.0,169.1,10.036,1532.94
Ahmedabad,Surat,261.91,SUV,Petrol,9.53,99.92,2,9,High,Fog,254.5,120.0,356.42,32.91,3909.45
Ahmedabad,Surat,286.16,Hatchback,Diesel,19.05,87.57,5,8,Medium,Cloudy,409.46,60.0,275.88,15.971,2051.79
Ahmedabad,Vadodara,111.01,SUV,Petrol,9.49,106.05,4,6,Medium,Rain,138.96,80.0,129.62,12.446,1634.23
Delhi,Jaipur,277.29,SUV,Diesel,11.88,89.41,4,5,Medium,Clear,285.11,0.0,282.03,24.224,2731.02
Delhi,Jaipur,281.82,Sedan,Diesel,16.28,96.63,1,22,High,Clear,403.0,40.0,323.88,20.276,2604.88
Bengaluru,Mysuru,149.38,SUV,CNG,8.24,72.69,5,14,Medium,Clear,224.98,120.0,172.03,18.789,1823.19
Ahmedabad,Surat,280.25,Hatchback,Diesel,20.92,87.73,3,8,Low,Rain,262.2,120.0,263.54,12.634,1673.87
Ahmedabad,Udaipur,284.4,SUV,CNG,10.94,85.95,3,1,Medium,Clear,255.69,120.0,287.94,28.075,3029.46
Vadodara,Mumbai,436.63,Hatchback,CNG,15.85,79.91,4,1,Low,Cloudy,584.37,150.0,313.82,26.668,3079.42
Ahmedabad,Udaipur,285.44,Sedan,CNG,13.72,73.42,2,19,Medium,Clear,260.66,60.0,282.78,21.617,2078.98
Delhi,Jaipur,297.59,SUV,Petrol,10.39,106.24,4,1,Medium,Clear,281.95,80.0,290.92,30.184,3760.93
Bengaluru,Mysuru,142.8,Sedan,Diesel,16.52,87.39,5,4,High,Fog,218.25,40.0,235.41,9.757,1229.54
Surat,Mumbai,299.33,Hatchback,CNG,16.91,74.56,5,14,Medium,Cloudy,328.54,80.0,243.08,19.07,1978.2
Surat,Mumbai,311.41,SUV,Diesel,15.24,92.23,1,17,High,Cloudy,382.59,80.0,325.1,24.033,2926.27
Bengaluru,Mysuru,154.37,Hatchback,Diesel,16.99,90.01,2,7,Low,Clear,136.13,60.0,154.67,8.73,1081.2
Ahmedabad,Udaipur,278.26,SUV,Petrol,10.72,96.47,3,5,Medium,Clear,212.61,40.0,280.69,27.019,3073.67
Rajkot,Ahmedabad,236.47,Hatchback,Petrol,19.53,107.02,2,11,Medium,Rain,312.02,120.0,313.08,12.913,1946.26
Pune,Mumbai,154.51,SUV,Diesel,10.76,88.93,3,5,Low,Rain,335.03,120.0,199.51,13.353,1802.38
Delhi,Jaipur,302.46,Hatchback,Diesel,19.11,89.78,4,18,High,Clear,294.15,0.0,349.61,19.087,2144.55
Ahmedabad,Udaipur,260.9,Sedan,CNG,12.18,77.53,2,8,Medium,Clear,228.37,60.0,269.98,22.609,2239.05
Pune,Mumbai,153.72,SUV,Diesel,12.11,97.16,1,5,Medium,Cloudy,292.8,40.0,205.3,13.239,1736.6
Ahmedabad,Surat,272.49,SUV,CNG,9.54,75.84,4,2,Low,Rain,274.16,120.0,259.7,26.119,2574.13
Ahmedabad,Udaipur,256.38,Sedan,CNG,12.84,84.84,4,20,High,Clear,303.28,40.0,307.8,23.701,2501.91
Ahmedabad,Surat,283.53,SUV,CNG,10.48,84.27,4,4,Medium,Rain,288.49,0.0,305.96,28.276,2911.68
Vadodara,Mumbai,437.96,Sedan,Diesel,18.78,97.04,4,5,Medium,Cloudy,450.65,120.0,354.34,24.745,3325.87
Ahmedabad,Surat,268.73,Hatchback,Diesel,19.42,97.85,5,5,Medium,Rain,401.87,60.0,303.65,14.852,2053.84
Ahmedabad,Vadodara,119.34,SUV,Diesel,14.47,93.94,3,21,Medium,Clear,144.3,60.0,123.51,8.425,1107.65
Pune,Mumbai,166.13,Hatchback,Petrol,20.06,98.62,2,22,High,Clear,260.43,40.0,259.39,9.931,1364.8
Surat,Mumbai,308.34,Sedan,Petrol,15.67,102.71,3,14,Medium,Clear,449.39,80.0,233.88,20.487,2841.2
Rajkot,Ahmedabad,222.89,Hatchback,Diesel,21.41,89.61,1,20,Medium,Cloudy,289.69,80.0,267.32,10.874,1471.8
Delhi,Jaipur,290.14,Sedan,CNG,12.09,79.22,4,11,High,Clear,478.21,60.0,317.24,27.43,2874.54
Vadodara,Mumbai,420.04,Sedan,CNG,15.66,72.45,1,5,Low,Rain,619.02,40.0,318.09,25.183,2801.23
Ahmedabad,Surat,273.69,Sedan,CNG,16.74,74.85,3,9,High,Clear,446.74,150.0,310.35,19.459,2226.91
Vadodara,Mumbai,428.41,Hatchback,Diesel,20.06,92.56,3,15,Medium,Cloudy,505.28,0.0,330.2,22.866,2859.13
Ahmedabad,Surat,265.38,Sedan,Diesel,16.6,87.79,3,19,High,Clear,428.21,80.0,281.27,18.255,2309.85
Rajkot,Ahmedabad,217.04,Sedan,CNG,16.08,81.96,1,2,Medium,Cloudy,200.51,40.0,244.68,14.026,1524.12
Ahmedabad,Surat,283.96,SUV,Petrol,13.99,94.25,5,7,High,Clear,443.24,150.0,337.02,23.739,3025.88
Bengaluru,Mysuru,143.41,SUV,Diesel,13.45,91.59,4,13,Low,Cloudy,221.35,120.0,148.3,10.08,1376.5
Bengaluru,Mysuru,145.85,Sedan,Petrol,13.49,97.07,5,17,High,Cloudy,238.11,60.0,204.04,12.38,1609.7
Rajkot,Ahmedabad,219.47,SUV,Petrol,12.63,107.82,3,3,Low,Cloudy,206.11,60.0,230.16,16.168,2182.21
Ahmedabad,Vadodara,115.42,SUV,Petrol,11.7,102.31,2,3,Medium,Clear,109.31,120.0,124.54,9.972,1352.3
Ahmedabad,Surat,270.79,Hatchback,Petrol,18.97,96.54,1,12,Low,Clear,385.76,60.0,219.27,13.817,1938.22
Rajkot,Ahmedabad,211.06,SUV,Petrol,9.58,101.27,4,19,Low,Cloudy,373.37,40.0,207.51,20.25,2619.71
Vadodara,Mumbai,428.13,Hatchback,Petrol,16.28,96.7,5,9,Medium,Clear,412.68,0.0,317.68,27.982,3420.09
Ahmedabad,Vadodara,115.6,Sedan,Diesel,15.78,95.51,5,1,High,Rain,176.5,120.0,154.42,8.795,1200.94
Pune,Mumbai,163.1,SUV,CNG,8.6,81.19,1,0,High,Cloudy,371.14,0.0,260.32,21.969,2257.54
Surat,Mumbai,295.61,Hatchback,Diesel,19.05,96.67,3,4,High,Clear,402.73,60.0,275.8,18.09,2351.1
Ahmedabad,Udaipur,284.99,Hatchback,Diesel,18.97,96.06,5,6,High,Cloudy,298.49,0.0,360.13,17.114,2127.85
Delhi,Jaipur,286.0,Hatchback,Petrol,16.99,96.76,1,16,Medium,Clear,372.98,120.0,274.16,17.698,2407.19
Delhi,Jaipur,284.22,Hatchback,CNG,14.79,73.31,3,21,High,Clear,480.64,80.0,329.68,22.107,2327.03
Surat,Mumbai,301.11,Sedan,Petrol,12.51,104.21,1,23,Medium,Clear,384.75,40.0,237.92,25.041,3258.36
Ahmedabad,Surat,268.86,SUV,Petrol,11.91,94.97,2,4,Low,Cloudy,387.35,0.0,241.44,21.824,2648.53
Rajkot,Ahmedabad,222.63,SUV,Diesel,13.9,89.9,5,10,Medium,Clear,256.04,40.0,246.58,16.585,1950.34
Delhi,Jaipur,275.99,Sedan,Petrol,16.48,105.87,5,2,Low,Clear,429.09,150.0,218.84,16.097,2440.09
Ahmedabad,Udaipur,260.71,Sedan,CNG,13.64,72.15,2,14,High,Clear,181.5,80.0,312.39,22.737,2102.94
Rajkot,Ahmedabad,235.84,SUV,Petrol,11.84,98.16,5,20,High,Cloudy,273.62,60.0,328.94,22.583,2725.44
Ahmedabad,Vadodara,121.86,Sedan,Petrol,17.85,95.73,1,4,High,Clear,172.35,0.0,146.5,8.034,1036.12
Bengaluru,Mysuru,154.63,Sedan,Diesel,14.09,91.45,5,13,Medium,Cloudy,209.96,120.0,178.94,11.499,1495.89
Pune,Mumbai,165.55,Hatchback,Diesel,22.38,94.47,1,7,Medium,Clear,365.21,80.0,216.22,7.646,1259.32
Surat,Mumbai,286.06,SUV,Diesel,9.76,94.51,4,22,High,Clear,521.34,150.0,279.08,34.523,4173.77
Ahmedabad,Vadodara,122.8,Sedan,Diesel,16.56,90.74,1,19,Medium,Clear,116.63,40.0,120.19,7.774,947.87
Rajkot,Ahmedabad,230.64,Sedan,Petrol,16.32,98.92,2,21,High,Clear,245.15,60.0,289.46,16.893,2162.48
Ahmedabad,Vadodara,115.85,SUV,Diesel,14.92,97.92,4,4,High,Cloudy,192.64,60.0,149.07,8.802,1200.95
Rajkot,Ahmedabad,212.51,SUV,Diesel,12.05,89.71,1,11,High,Rain,304.46,60.0,331.48,20.49,2374.32
Rajkot,Ahmedabad,232.72,Sedan,Diesel,16.78,96.0,3,16,Medium,Rain,222.18,80.0,285.7,14.735,1862.48
Pune,Mumbai,168.17,Sedan,Petrol,15.42,107.28,2,9,High,Fog,231.84,120.0,295.78,12.616,1847.86
Delhi,Jaipur,280.13,Sedan,Diesel,18.95,94.81,4,0,High,Clear,399.74,150.0,308.17,16.936,2322.12
Rajkot,Ahmedabad,231.53,SUV,Petrol,11.54,107.87,3,0,Medium,Clear,261.59,60.0,254.49,21.325,2846.89
Vadodara,Mumbai,436.65,SUV,Petrol,13.05,99.05,3,18,Low,Clear,390.86,40.0,301.46,32.364,3945.86
Vadodara,Mumbai,416.67,SUV,CNG,11.87,81.44,5,13,Medium,Rain,499.55,0.0,387.45,36.545,3850.31
Pune,Mumbai,159.07,Sedan,Petrol,13.73,103.69,1,5,Medium,Rain,366.91,0.0,237.23,12.523,1799.5
Surat,Mumbai,286.33,Sedan,Diesel,16.03,94.47,4,18,High,Clear,428.02,0.0,261.5,20.58,2594.14
Pune,Mumbai,157.16,Hatchback,Petrol,20.27,103.71,1,10,Low,Clear,318.7,60.0,183.92,7.217,1224.22
Ahmedabad,Vadodara,113.06,Sedan,Petrol,14.62,94.64,4,4,Medium,Clear,120.31,80.0,110.04,7.837,1030.94
Pune,Mumbai,164.19,Hatchback,Diesel,19.1,95.97,3,7,Medium,Rain,285.43,120.0,243.69,8.931,1357.41
Vadodara,Mumbai,428.19,Hatchback,Diesel,19.83,87.01,1,3,Low,Clear,588.95,40.0,272.01,21.031,2664.14
Bengaluru,Mysuru,154.36,SUV,Petrol,12.38,107.55,3,1,High,Clear,146.37,60.0,212.78,14.495,1873.74
Delhi,Jaipur,276.42,SUV,Petrol,12.72,107.99,2,13,Low,Cloudy,386.71,80.0,249.28,20.331,2916.17
Bengaluru,Mysuru,155.61,Hatchback,Diesel,18.31,95.78,1,0,High,Clear,146.21,150.0,207.42,9.797,1307.59
Ahmedabad,Udaipur,277.14,Sedan,Petrol,17.84,101.08,3,9,Medium,Cloudy,304.54,80.0,283.16,15.784,2181.93
Ahmedabad,Surat,284.33,SUV,Petrol,13.42,102.32,2,11,Medium,Clear,357.01,0.0,262.92,22.537,2882.38
Ahmedabad,Udaipur,264.98,SUV,CNG,11.87,75.9,5,17,High,Clear,199.64,60.0,334.73,25.977,2460.78
Ahmedabad,Vadodara,122.87,Hatchback,Diesel,18.72,97.17,4,18,Medium,Cloudy,145.67,80.0,134.9,6.741,963.45
Rajkot,Ahmedabad,217.66,Sedan,CNG,15.02,78.94,1,11,Low,Clear,308.95,60.0,201.48,14.056,1623.41
Surat,Mumbai,312.59,Sedan,Diesel,14.94,95.05,1,10,Low,Fog,462.61,120.0,271.29,19.546,2669.9
Ahmedabad,Vadodara,117.04,Hatchback,Petrol,16.63,98.64,4,10,Low,Clear,112.19,80.0,107.78,6.613,923.93
Surat,Mumbai,316.81,SUV,Diesel,9.8,96.54,4,8,Low,Clear,336.31,60.0,219.71,29.612,3471.96
Bengaluru,Mysuru,153.37,SUV,Petrol,10.3,96.73,4,14,Medium,Cloudy,177.22,80.0,176.04,15.188,1884.73
Ahmedabad,Udaipur,259.92,Hatchback,Diesel,19.49,91.83,2,2,Medium,Clear,182.91,150.0,260.72,13.8,1736.68
Bengaluru,Mysuru,156.36,SUV,Petrol,14.17,102.33,4,4,Medium,Cloudy,189.54,60.0,183.31,11.218,1538.3
Ahmedabad,Udaipur,262.79,SUV,CNG,10.78,78.71,3,3,High,Clear,324.9,80.0,311.74,27.542,2748.87
Bengaluru,Mysuru,145.98,Sedan,CNG,14.96,83.86,3,22,High,Clear,249.04,40.0,182.3,11.17,1322.08
Rajkot,Ahmedabad,214.77,Hatchback,Diesel,22.45,90.22,5,12,Medium,Rain,212.42,60.0,278.53,10.203,1318.43
Delhi,Jaipur,293.24,Hatchback,Petrol,15.18,94.54,4,0,Medium,Clear,359.89,80.0,288.43,19.934,2478.63
Ahmedabad,Vadodara,115.69,Sedan,Diesel,15.78,90.63,3,16,Medium,Clear,189.18,0.0,119.03,7.482,948.59
Ahmedabad,Udaipur,257.13,Hatchback,Petrol,19.09,107.64,4,0,Medium,Rain,179.25,80.0,306.45,13.652,1896.71
Rajkot,Ahmedabad,227.7,SUV,CNG,12.49,79.22,3,8,Medium,Clear,218.37,60.0,247.66,18.792,1940.4
Ahmedabad,Udaipur,267.36,Sedan,CNG,12.01,83.9,2,20,Medium,Cloudy,186.46,60.0,268.38,23.882,2474.28
Rajkot,Ahmedabad,219.02,Sedan,Diesel,20.04,89.73,5,17,Medium,Clear,193.58,80.0,233.35,11.173,1405.71
Ahmedabad,Udaipur,278.24,SUV,Petrol,13.2,100.32,5,11,Low,Clear,291.1,80.0,248.15,19.649,2618.75
Pune,Mumbai,168.81,Sedan,Diesel,17.29,91.5,2,13,Medium,Rain,386.31,80.0,245.18,10.349,1549.98
Bengaluru,Mysuru,142.14,Sedan,CNG,15.35,82.45,3,18,Medium,Clear,237.65,80.0,151.22,9.89,1242.14
Ahmedabad,Udaipur,277.21,SUV,Diesel,14.97,91.55,5,13,Low,Cloudy,254.09,60.0,269.04,17.711,2151.55
Pune,Mumbai,152.21,Sedan,Diesel,14.47,88.69,2,20,Medium,Clear,293.85,0.0,196.79,11.22,1382.67
Pune,Mumbai,160.66,Hatchback,Petrol,20.37,101.62,3,12,Low,Clear,295.18,150.0,174.9,7.633,1329.09
Delhi,Jaipur,295.32,Sedan,Petrol,15.47,98.09,1,19,Medium,Rain,368.17,80.0,322.66,20.514,2638.57
Ahmedabad,Udaipur,264.38,SUV,CNG,10.71,83.72,5,5,High,Clear,234.21,40.0,323.58,29.426,2936.81
Ahmedabad,Vadodara,120.52,Sedan,Petrol,16.89,105.09,4,9,Medium,Rain,138.56,60.0,141.67,7.35,1066.76
Delhi,Jaipur,304.14,SUV,Diesel,11.3,91.96,2,3,Medium,Clear,407.02,80.0,292.29,27.348,3312.44
Delhi,Jaipur,292.36,Sedan,Diesel,17.53,87.68,3,19,Low,Rain,309.75,0.0,285.77,15.403,1834.61
Surat,Mumbai,291.27,Hatchback,Diesel,17.73,96.45,4,18,Low,Clear,352.65,0.0,197.76,15.427,2032.39
Pune,Mumbai,165.62,Hatchback,CNG,19.03,76.51,2,22,Medium,Clear,232.87,60.0,214.31,8.895,1052.08
Delhi,Jaipur,280.02,Hatchback,CNG,18.27,85.11,5,5,Medium,Clear,481.35,40.0,276.83,16.351,2067.87
Bengaluru,Mysuru,157.35,Hatchback,Petrol,20.16,101.15,1,2,Medium,Clear,167.08,40.0,170.11,8.166,1120.5
Ahmedabad,Surat,270.1,Sedan,Petrol,13.99,97.89,4,0,Low,Fog,243.25,40.0,254.31,18.611,2295.54
Bengaluru,Mysuru,155.89,Hatchback,Diesel,20.58,97.34,2,23,Medium,Rain,190.55,80.0,193.69,8.06,1162.1
Bengaluru,Mysuru,145.7,Sedan,Diesel,17.91,95.56,4,9,Medium,Clear,167.44,0.0,153.43,8.301,1068.59
Pune,Mumbai,159.16,SUV,CNG,11.17,73.93,4,21,Low,Clear,284.65,40.0,186.09,13.786,1491.81
Vadodara,Mumbai,458.75,Sedan,Diesel,13.98,94.95,2,13,Medium,Clear,618.14,60.0,346.45,34.098,4233.92
Ahmedabad,Udaipur,275.16,Sedan,Diesel,14.03,95.75,2,10,Medium,Cloudy,260.81,150.0,287.05,20.825,2616.9
Ahmedabad,Udaipur,261.66,Hatchback,Petrol,17.25,97.89,5,8,Medium,Cloudy,292.94,60.0,283.47,15.393,2006.52
Delhi,Jaipur,290.09,Sedan,Petrol,17.95,98.54,1,6,Low,Cloudy,332.86,40.0,240.71,14.865,2075.53
Vadodara,Mumbai,447.53,Hatchback,Petrol,20.8,94.28,5,10,Medium,Rain,556.37,150.0,376.17,23.247,3190.53
Delhi,Jaipur,284.85,Hatchback,Petrol,18.86,101.22,5,17,High,Cloudy,340.1,0.0,330.88,17.173,2264.86
Vadodara,Mumbai,452.92,Sedan,Diesel,16.16,94.35,1,19,High,Clear,574.69,60.0,414.17,32.414,3996.46
Ahmedabad,Surat,289.05,Sedan,Diesel,17.98,91.74,2,11,High,Clear,270.23,80.0,317.31,19.17,2281.98
Ahmedabad,Udaipur,265.49,SUV,Diesel,13.27,92.61,4,0,Medium,Clear,267.52,60.0,266.88,20.293,2403.98
Delhi,Jaipur,288.69,Sedan,Petrol,17.56,96.94,1,17,High,Clear,477.43,150.0,331.21,18.592,2641.15
Surat,Mumbai,302.94,Sedan,Petrol,13.52,104.03,1,6,High,Clear,316.48,60.0,274.32,25.508,3256.76
Ahmedabad,Vadodara,115.85,Hatchback,Petrol,20.65,94.6,3,13,Medium,Clear,108.04,80.0,114.94,5.739,791.5
Rajkot,Ahmedabad,223.1,SUV,Petrol,13.37,100.19,3,18,Low,Rain,242.94,40.0,247.65,15.615,2050.92
Rajkot,Ahmedabad,220.89,Sedan,Diesel,16.63,96.11,5,7,Medium,Fog,348.46,150.0,298.67,13.553,1962.05
Rajkot,Ahmedabad,234.52,Hatchback,Diesel,18.64,90.02,3,7,Medium,Clear,297.52,80.0,250.51,12.854,1644.53
Pune,Mumbai,164.67,SUV,CNG,9.11,75.07,2,7,Medium,Cloudy,380.89,40.0,229.52,18.978,1972.11
Vadodara,Mumbai,419.29,Hatchback,Diesel,22.96,95.78,3,21,Medium,Fog,577.56,60.0,400.4,19.633,2777.75
Pune,Mumbai,166.7,Hatchback,Diesel,19.68,87.22,4,2,High,Cloudy,277.12,60.0,255.07,9.795,1285.22
Vadodara,Mumbai,433.68,Hatchback,Petrol,19.04,100.09,1,9,Low,Clear,560.35,80.0,275.04,22.129,3055.1
Surat,Mumbai,284.88,Hatchback,Diesel,17.98,96.46,3,7,Medium,Clear,376.09,60.0,228.41,17.094,2263.46
Ahmedabad,Vadodara,121.84,SUV,Petrol,13.18,101.78,2,14,High,Cloudy,172.36,0.0,158.66,10.761,1390.98
Surat,Mumbai,284.92,SUV,CNG,10.67,79.12,4,12,Low,Rain,319.63,120.0,230.73,24.607,2598.06
Pune,Mumbai,169.74,Sedan,CNG,12.08,72.43,3,11,High,Clear,377.36,40.0,262.65,16.591,1739.47
Ahmedabad,Vadodara,112.6,SUV,CNG,12.19,85.98,3,11,High,Rain,103.44,60.0,164.38,10.613,1179.33
Pune,Mumbai,165.18,SUV,Diesel,12.37,93.48,3,23,Medium,Clear,399.46,60.0,208.73,13.594,1873.83
Rajkot,Ahmedabad,228.54,Sedan,CNG,12.69,72.96,5,16,Low,Rain,378.16,40.0,248.67,17.303,1824.03
Surat,Mumbai,289.3,Sedan,Diesel,20.01,95.19,3,2,Medium,Clear,383.62,40.0,220.36,15.128,2041.41
Bengaluru,Mysuru,146.02,Hatchback,CNG,14.73,84.55,3,5,Medium,Clear,188.01,120.0,170.05,10.219,1240.28
Bengaluru,Mysuru,152.78,SUV,Diesel,9.63,87.02,4,12,Medium,Clear,156.6,80.0,173.08,16.222,1755.55
Delhi,Jaipur,292.04,Hatchback,CNG,15.27,82.86,4,4,Medium,Clear,450.75,150.0,273.06,19.677,2385.91
Ahmedabad,Surat,274.34,Sedan,Diesel,19.23,95.48,3,0,Medium,Cloudy,252.83,60.0,261.32,14.59,1914.11
Ahmedabad,Surat,269.19,Sedan,Diesel,19.36,88.34,2,14,Medium,Clear,396.29,40.0,239.28,14.446,1918.37
Ahmedabad,Surat,284.21,SUV,CNG,11.11,82.14,5,16,Low,Clear,295.12,80.0,237.29,24.166,2562.42
Delhi,Jaipur,303.85,Hatchback,Diesel,21.5,87.41,5,15,Medium,Clear,281.79,60.0,303.65,14.451,1796.43
Delhi,Jaipur,285.54,Sedan,CNG,12.79,74.96,2,3,Medium,Clear,339.44,80.0,281.45,24.116,2440.22
Bengaluru,Mysuru,147.38,Sedan,Petrol,17.42,97.05,4,2,High,Rain,214.3,60.0,217.54,9.718,1304.19
Rajkot,Ahmedabad,226.77,Sedan,Diesel,15.15,97.32,3,18,High,Clear,358.1,40.0,284.54,17.165,2210.75
