start_city,start_state,start_lat,start_lon,dest_city,dest_state,dest_lat,dest_lon,haversine_km,road_km,factor,source
Hajipur,Bihar,25.68544,85.20981,Gwalior,Madhya Pradesh,26.22983,78.17337,705.996,851.028,1.20543,osrm
Firozpur,Punjab,30.92574,74.61311,Jamnagar,Gujarat,22.47292,70.06673,1042.465,1151.018,1.10413,osrm
Bhiwani,Haryana,28.79304,76.13968,Yavatmal,Maharashtra,20.39324,78.13201,955.430,1218.864,1.27572,osrm
Siliguri,West Bengal,26.71004,88.42851,Delhi,Delhi,28.65195,77.23149,1123.033,1355.952,1.20740,osrm
Hosur,Tamil Nadu,12.73647,77.83264,Vasco da Gama,Goa,15.39585,73.81568,524.524,642.934,1.22575,osrm
Hajipur,Bihar,25.68544,85.20981,Ajmer,Rajasthan,26.45210,74.63867,1059.009,1209.399,1.14201,osrm
Raj-Nandgaon,Chhattisgarh,21.09687,81.02890,Machilipatnam,Andhra Pradesh,16.18747,81.13888,546.024,790.354,1.44747,osrm
Malegaon,Maharashtra,20.54966,74.53462,Betul,Madhya Pradesh,21.90056,77.90229,379.998,496.337,1.30616,osrm
Navadwip,West Bengal,23.40670,88.36861,Chandannagar,West Bengal,22.86225,88.36796,60.540,72.066,1.19037,osrm
Mau,Uttar Pradesh,25.94167,83.56111,Gorakhpur,Uttar Pradesh,26.76628,83.36889,93.671,105.928,1.13084,osrm
Eluru,Andhra Pradesh,16.71311,81.10437,Vidisha,Madhya Pradesh,23.52604,77.81092,831.835,1114.405,1.33969,osrm
Singrauli,Madhya Pradesh,24.19973,82.67535,Chhatarpur,Madhya Pradesh,24.91770,79.58871,322.207,369.872,1.14793,osrm
Lal Bahadur Nagar,Telangana,17.34769,78.55757,Guntur,Andhra Pradesh,16.29974,80.45729,233.369,260.772,1.11743,osrm
Bareilly,Uttar Pradesh,28.36678,79.43167,Budaun,Uttar Pradesh,28.03811,79.12668,47.211,50.662,1.07309,osrm
Hoshiarpur,Punjab,31.53723,75.91269,Khanna,Punjab,30.70547,76.22196,97.060,105.130,1.08315,osrm
Bhilai,Chhattisgarh,21.20919,81.42850,Gadag-Betageri,Karnataka,15.41670,75.61670,889.270,1193.894,1.34255,osrm
Ahilyanagar,Maharashtra,19.09457,74.73843,Mahesana,Gujarat,23.59864,72.38472,556.962,688.396,1.23598,osrm
Rohini,Delhi,28.74322,77.06778,Karimnagar,Telangana,18.43915,79.12856,1164.767,1418.424,1.21778,osrm
Darjiling,West Bengal,27.03333,88.26667,Haldia,West Bengal,22.06046,88.10975,553.186,732.983,1.32502,osrm
Aligarh,Uttar Pradesh,27.88145,78.07464,Shahjanpur,Uttar Pradesh,27.88165,79.90918,180.310,237.231,1.31568,osrm
Nashik,Maharashtra,19.99727,73.79096,Gangavati,Karnataka,15.43130,76.52933,584.676,652.544,1.11608,osrm
Budaun,Uttar Pradesh,28.03811,79.12668,Amroha,Uttar Pradesh,28.90314,78.46984,115.646,135.244,1.16946,osrm
Bhayandar,Maharashtra,19.30157,72.85107,Bulandshahr,Uttar Pradesh,28.40392,77.85773,1132.597,1353.641,1.19517,osrm
Chennai,Tamil Nadu,13.08784,80.27847,Gajuwaka,Andhra Pradesh,17.70000,83.21667,601.803,796.813,1.32404,osrm
Arrah,Bihar,25.55629,84.66335,Dhanbad,Jharkhand,23.79759,86.42992,264.762,368.974,1.39360,osrm
Dohad,Gujarat,22.83283,74.25986,Valsad,Gujarat,20.61013,72.93428,282.545,369.519,1.30782,osrm
Kolar,Karnataka,13.13768,78.12999,Gangavati,Karnataka,15.43130,76.52933,307.881,379.405,1.23231,osrm
Guna,Madhya Pradesh,24.64691,77.31130,Raj-Nandgaon,Chhattisgarh,21.09687,81.02890,548.465,737.794,1.34520,osrm
Kurichchi,Tamil Nadu,10.96085,76.97379,Guntakal,Andhra Pradesh,15.17112,77.36244,470.049,610.967,1.29979,osrm
Bhiwani,Haryana,28.79304,76.13968,Raigarh,Chhattisgarh,21.89764,83.39660,1057.591,1375.459,1.30056,osrm
Puri,Odisha,19.79825,85.82494,Panihati,West Bengal,22.69089,88.37404,416.206,501.798,1.20565,osrm
Pune,Maharashtra,18.51957,73.85535,Mysuru,Karnataka,12.29791,76.63925,753.368,895.459,1.18861,osrm
Patna,Bihar,25.59408,85.13563,Buxar,Bihar,25.57548,83.98043,115.876,125.228,1.08071,osrm
Nandyal,Andhra Pradesh,15.47799,78.48360,Mysuru,Karnataka,12.29791,76.63925,405.787,493.283,1.21562,osrm
Bihar Sharif,Bihar,25.20084,85.52389,Chandigarh,Chandigarh,30.73629,76.78840,1055.212,1303.630,1.23542,osrm
Chikmagalur,Karnataka,13.32231,75.77400,Narasaraopet,Andhra Pradesh,16.23488,80.04927,562.242,709.298,1.26155,osrm
Davangere,Karnataka,14.46693,75.92694,Raichur,Karnataka,16.20546,77.35567,246.662,349.376,1.41642,osrm
Meerut,Uttar Pradesh,28.98002,77.70636,Etah,Uttar Pradesh,27.55879,78.65692,183.411,212.621,1.15926,osrm
Hindupur,Andhra Pradesh,13.82807,77.49143,Nandurbar,Maharashtra,21.36671,74.24051,906.191,1084.215,1.19645,osrm
Kalol,Gujarat,23.24656,72.49508,Budaun,Uttar Pradesh,28.03811,79.12668,851.629,1013.488,1.19006,osrm
Kanpur Cantonment,Uttar Pradesh,26.45942,80.37514,Siliguri,West Bengal,26.71004,88.42851,801.169,959.223,1.19728,osrm
Bilaspur,Chhattisgarh,22.08005,82.15543,Sambalpur,Odisha,21.46527,83.97573,200.012,248.898,1.24442,osrm
Siwan,Bihar,26.22096,84.35609,Gorakhpur,Uttar Pradesh,26.76628,83.36889,115.449,131.931,1.14276,osrm
Erode,Tamil Nadu,11.34280,77.72741,Kurichchi,Tamil Nadu,10.96085,76.97379,92.538,106.348,1.14924,osrm
Sambhal,Uttar Pradesh,28.58498,78.56959,Rudrapur,Uttarakhand,28.98000,79.40000,92.081,106.090,1.15214,osrm
Narela,Delhi,28.85267,77.09288,Etawah,Uttar Pradesh,26.77615,79.02133,298.792,352.098,1.17840,osrm
Modinagar,Uttar Pradesh,28.83059,77.57295,Mau,Uttar Pradesh,25.94167,83.56111,672.713,771.672,1.14710,osrm
Ghazipur,Uttar Pradesh,25.58333,83.58526,Madhurampur Dehri,Bihar,24.96899,84.19640,91.883,145.611,1.58475,osrm
Palwal,Haryana,28.14469,77.32546,Mandoli,Delhi,28.70275,77.30995,62.072,71.372,1.14983,osrm
Uppal Kalan,Telangana,17.40577,78.55911,Durg,Chhattisgarh,21.19147,81.27619,508.397,688.076,1.35342,osrm
Hazaribagh,Jharkhand,23.99241,85.36162,Dhanbad,Jharkhand,23.79759,86.42992,110.747,127.161,1.14821,osrm
Yelahanka,Karnataka,13.10073,77.59632,Vijayawada,Andhra Pradesh,16.50745,80.64660,500.986,620.374,1.23831,osrm
Munger,Bihar,25.37459,86.47455,Dam Dam,West Bengal,22.63341,88.42286,363.402,456.592,1.25644,osrm
Medinipur,West Bengal,22.42114,87.32257,Habra,West Bengal,22.84202,88.65606,144.640,174.454,1.20613,osrm
Begusarai,Bihar,25.41853,86.13389,Prayagraj,Uttar Pradesh,25.44478,81.84322,430.861,482.461,1.11976,osrm
Ludhiana,Punjab,30.91204,75.85379,Mirzapur,Uttar Pradesh,25.14490,82.56534,918.921,1014.537,1.10405,osrm
Madhavaram,Tamil Nadu,13.14819,80.23140,Sangli,Maharashtra,16.85438,74.56417,734.958,884.448,1.20340,osrm
Khurja,Uttar Pradesh,28.25382,77.85535,Jajmau,Uttar Pradesh,26.43040,80.40950,323.640,367.393,1.13519,osrm
Raichur,Karnataka,16.20546,77.35567,Pimpri,Maharashtra,18.62292,73.80696,462.590,564.604,1.22053,osrm
Chirmiri,Chhattisgarh,23.19073,82.35314,Sultanpur,Uttar Pradesh,26.25788,82.07269,342.226,531.711,1.55368,osrm
Shivpuri,Madhya Pradesh,25.42378,77.66223,Narasaraopet,Andhra Pradesh,16.23488,80.04927,1051.355,1375.965,1.30875,osrm
Chapra,Bihar,25.78031,84.74709,Korba,Chhattisgarh,22.34580,82.69633,434.950,582.819,1.33997,osrm
Rishra,West Bengal,22.72394,88.34563,Basti,Uttar Pradesh,26.78817,82.71617,726.011,870.459,1.19896,osrm
Machilipatnam,Andhra Pradesh,16.18747,81.13888,Rajamahendravaram,Andhra Pradesh,17.00517,81.77784,113.593,161.376,1.42066,osrm
Deoria,Uttar Pradesh,26.50167,83.77936,Bareilly,Uttar Pradesh,28.36678,79.43167,476.516,568.665,1.19338,osrm
Vizianagaram,Andhra Pradesh,18.11692,83.41148,Korba,Chhattisgarh,22.34580,82.69633,476.110,607.482,1.27593,osrm
Hubballi,Karnataka,15.34776,75.13378,Mysuru,Karnataka,12.29791,76.63925,376.064,464.585,1.23539,osrm
Gaya,Bihar,24.79686,85.00385,Deoria,Uttar Pradesh,26.50167,83.77936,225.829,305.277,1.35181,osrm
Tiruvannamalai,Tamil Nadu,12.22662,79.07461,Erode,Tamil Nadu,11.34280,77.72741,176.529,208.278,1.17985,osrm
Gaya,Bihar,24.79686,85.00385,Vijayawada,Andhra Pradesh,16.50745,80.64660,1026.951,1346.707,1.31136,osrm
Varanasi,Uttar Pradesh,25.31668,83.01041,Dhanbad,Jharkhand,23.79759,86.42992,384.863,407.962,1.06002,osrm
Basirhat City,West Bengal,22.66142,88.85477,Puri,Odisha,19.79825,85.82494,447.154,554.732,1.24058,osrm
Katihar,Bihar,25.53852,87.57044,Panihati,West Bengal,22.69089,88.37404,326.974,403.435,1.23385,osrm
Bahadurgarh,Haryana,28.69287,76.93555,Bharatpur,Rajasthan,27.21731,77.49009,172.878,207.492,1.20022,osrm
Jagadhri,Haryana,30.16719,77.30367,Sitapur,Uttar Pradesh,27.56192,80.68265,438.350,542.538,1.23768,osrm
Madanapalle,Andhra Pradesh,13.55030,78.50288,Narmadapuram,Madhya Pradesh,22.74747,77.72736,1025.948,1298.271,1.26544,osrm
Kirari Sulemannagar,Delhi,28.69736,77.06480,Modinagar,Uttar Pradesh,28.83059,77.57295,51.700,63.850,1.23501,osrm
Ghazipur,Uttar Pradesh,25.58333,83.58526,Deoria,Uttar Pradesh,26.50167,83.77936,103.940,135.661,1.30519,osrm
Serilingampalle,Telangana,17.49313,78.30196,Dhanbad,Jharkhand,23.79759,86.42992,1097.974,1461.447,1.33104,osrm
Shrirampur,West Bengal,22.75278,88.34222,Haldwani,Uttarakhand,29.22254,79.52860,1136.613,1341.103,1.17991,osrm
Khurja,Uttar Pradesh,28.25382,77.85535,Begusarai,Bihar,25.41853,86.13389,879.544,1013.918,1.15278,osrm
Sambalpur,Odisha,21.46527,83.97573,Hazaribagh,Jharkhand,23.99241,85.36162,314.900,433.403,1.37632,osrm
Bilaspur,Chhattisgarh,22.08005,82.15543,Machilipatnam,Andhra Pradesh,16.18747,81.13888,663.861,898.771,1.35385,osrm
Parbhani,Maharashtra,19.26855,76.77081,Suriapet,Telangana,17.14054,79.62045,382.858,469.208,1.22554,osrm
Gorakhpur,Uttar Pradesh,26.76628,83.36889,Mothihari,Bihar,26.64862,84.91656,154.288,207.597,1.34552,osrm
Baran,Rajasthan,25.10000,76.51667,Ramgundam,Telangana,18.80084,79.45206,762.969,964.489,1.26413,osrm
Khammam,Telangana,17.24767,80.14368,Mothihari,Bihar,26.64862,84.91656,1155.085,1533.072,1.32724,osrm
Srikakulam,Andhra Pradesh,18.29890,83.89751,Munger,Bihar,25.37459,86.47455,830.448,1081.923,1.30282,osrm
Katihar,Bihar,25.53852,87.57044,New Delhi,Delhi,28.62137,77.21480,1080.565,1291.775,1.19546,osrm
Vijayawada,Andhra Pradesh,16.50745,80.64660,Hardoi,Uttar Pradesh,27.39491,80.13165,1211.791,1574.492,1.29931,osrm
Lucknow,Uttar Pradesh,26.83928,80.92313,Prayagraj,Uttar Pradesh,25.44478,81.84322,180.218,207.507,1.15142,osrm
Mahesana,Gujarat,23.59864,72.38472,Budaun,Uttar Pradesh,28.03811,79.12668,835.828,983.210,1.17633,osrm
Vellore,Tamil Nadu,12.91840,79.13255,Tirupati,Andhra Pradesh,13.63551,79.41989,85.588,109.190,1.27576,osrm
Balasore,Odisha,21.49266,86.93348,Dinapur Nizamat,Bihar,25.63847,85.05118,499.294,646.481,1.29479,osrm
Kolhapur,Maharashtra,16.69563,74.23167,Botad,Gujarat,22.16917,71.66671,665.354,954.650,1.43480,osrm
Pali,Rajasthan,25.77276,73.32335,Panipat,Haryana,29.38747,76.96825,538.999,641.807,1.19074,osrm
Bhilai,Chhattisgarh,21.20919,81.42850,Rohini,Delhi,28.74322,77.06778,945.803,1173.853,1.24112,osrm
Thenali,Andhra Pradesh,16.24253,80.63982,Dindigul,Tamil Nadu,10.36896,77.98036,713.644,845.302,1.18449,osrm
Yamuna Nagar,Haryana,30.12796,77.28371,Patiala,Punjab,30.33625,76.39220,88.725,113.936,1.28415,osrm
Suriapet,Telangana,17.14054,79.62045,Buxar,Bihar,25.57548,83.98043,1040.680,1424.500,1.36882,osrm
Mustafabad,Delhi,28.71974,77.26781,Hoshiarpur,Punjab,31.53723,75.91269,339.307,388.565,1.14517,osrm
Deoli,Delhi,28.50254,77.23117,Agra,Uttar Pradesh,27.18333,78.01667,165.777,192.439,1.16083,osrm
Wardha,Maharashtra,20.73933,78.59784,Ujjain,Madhya Pradesh,23.18239,75.77643,398.039,532.141,1.33691,osrm
Hanumangarh,Rajasthan,29.58182,74.32938,Pimpri-Chinchwad,Maharashtra,18.61867,73.80375,1220.210,1477.443,1.21081,osrm
Jhunjhunun,Rajasthan,28.12559,75.39797,Meerut,Uttar Pradesh,28.98002,77.70636,244.657,288.945,1.18102,osrm
Narasaraopet,Andhra Pradesh,16.23488,80.04927,Tadepalligudem,Andhra Pradesh,16.81467,81.52717,170.227,194.763,1.14414,osrm
Chilakalurupet,Andhra Pradesh,16.08987,80.16705,Barasat,West Bengal,22.72154,88.48198,1141.462,1306.868,1.14491,osrm
Tiruppur,Tamil Nadu,11.11541,77.35456,Vapi,Gujarat,20.37175,72.90493,1133.815,1399.003,1.23389,osrm
Madhurampur Dehri,Bihar,24.96899,84.19640,Deoghar,Jharkhand,24.48983,86.69902,258.309,329.970,1.27742,osrm
Tadpatri,Andhra Pradesh,14.90832,78.01031,Satara,Maharashtra,17.68589,73.99333,528.337,633.848,1.19970,osrm
Kanhangad,Kerala,12.30814,75.10632,Kozhikode,Kerala,11.24802,75.78040,138.851,155.524,1.12008,osrm
Burari,Delhi,28.75570,77.19941,Deesa,Gujarat,24.25612,72.17928,706.834,815.637,1.15393,osrm
Lucknow,Uttar Pradesh,26.83928,80.92313,Sultanpur,Uttar Pradesh,26.25788,82.07269,131.356,142.238,1.08285,osrm
Neyveli,Tamil Nadu,11.60877,79.49940,Alappuzha,Kerala,9.49004,76.32640,419.283,528.816,1.26124,osrm
Adoni,Andhra Pradesh,15.62788,77.27495,Hosapete,Karnataka,15.26954,76.38710,103.163,145.570,1.41107,osrm
Deoli,Delhi,28.50254,77.23117,Nagaur,Rajasthan,27.20201,73.73394,372.977,436.781,1.17107,osrm
Nandurbar,Maharashtra,21.36671,74.24051,Bhuj,Gujarat,23.25397,69.66928,514.903,665.107,1.29171,osrm
Chittorgarh,Rajasthan,24.88963,74.62403,Bhavnagar,Gujarat,21.76287,72.15331,429.533,532.786,1.24038,osrm
Mangalagiri,Andhra Pradesh,16.43083,80.56815,Tadepalligudem,Andhra Pradesh,16.81467,81.52717,110.737,126.811,1.14515,osrm
Mandoli,Delhi,28.70275,77.30995,Ambala,Haryana,30.36099,76.79782,190.928,210.879,1.10449,osrm
Rasapudipalem,Andhra Pradesh,17.73308,83.31622,Guntakal,Andhra Pradesh,15.17112,77.36244,695.824,819.937,1.17837,osrm
Ahilyanagar,Maharashtra,19.09457,74.73843,Banda,Uttar Pradesh,25.47758,80.33491,913.657,1138.997,1.24664,osrm
Bihar Sharif,Bihar,25.20084,85.52389,Thenali,Andhra Pradesh,16.24253,80.63982,1117.810,1471.236,1.31618,osrm
Kirari Sulemannagar,Delhi,28.69736,77.06480,Meerut,Uttar Pradesh,28.98002,77.70636,69.950,95.772,1.36915,osrm
Moga,Punjab,30.81383,75.16878,Shimla,Himachal Pradesh,31.10442,77.16662,193.219,280.608,1.45228,osrm
Jodhpur,Rajasthan,26.26841,73.00594,Rewa,Madhya Pradesh,24.53256,81.29234,854.241,1023.503,1.19814,osrm
Patiala,Punjab,30.33625,76.39220,Dhanbad,Jharkhand,23.79759,86.42992,1230.457,1392.139,1.13140,osrm
Bhind,Madhya Pradesh,26.56671,78.78728,Tadepalligudem,Andhra Pradesh,16.81467,81.52717,1120.593,1504.732,1.34280,osrm
Deoria,Uttar Pradesh,26.50167,83.77936,Jaunpur,Uttar Pradesh,25.75356,82.68689,137.166,164.771,1.20125,osrm
Mothihari,Bihar,26.64862,84.91656,Mathura,Uttar Pradesh,27.50350,77.67215,723.419,849.223,1.17390,osrm
Dohad,Gujarat,22.83283,74.25986,Narela,Delhi,28.85267,77.09288,726.854,819.024,1.12681,osrm
Rajkot,Gujarat,22.29161,70.79322,Jetpur,Gujarat,21.75482,70.62347,62.200,70.947,1.14062,osrm
Dehradun,Uttarakhand,30.32443,78.03392,Gurugram,Haryana,28.46010,77.02635,229.133,255.829,1.11651,osrm
Kishangarh,Rajasthan,26.59006,74.85397,Ambarnath,Maharashtra,19.20000,73.16667,839.680,985.158,1.17325,osrm
Chapra,Bihar,25.78031,84.74709,Bhiwani,Haryana,28.79304,76.13968,913.870,1067.097,1.16767,osrm
Nadiad,Gujarat,22.69385,72.86157,Raigarh,Chhattisgarh,21.89764,83.39660,1087.241,1312.230,1.20694,osrm
Haldia,West Bengal,22.06046,88.10975,Madhyamgram,West Bengal,22.68944,88.44594,78.016,134.328,1.72180,osrm
Chapra,Bihar,25.78031,84.74709,Chandannagar,West Bengal,22.86225,88.36796,489.732,611.013,1.24765,osrm
Vellore,Tamil Nadu,12.91840,79.13255,Malkajgiri,Telangana,17.44781,78.52633,507.830,624.631,1.23000,osrm
Khandwa,Madhya Pradesh,21.82427,76.35086,Khargone,Madhya Pradesh,21.82292,75.61394,76.069,86.372,1.13544,osrm
Ajmer,Rajasthan,26.45210,74.63867,Panipat,Haryana,29.38747,76.96825,398.626,478.080,1.19932,osrm
Satna,Madhya Pradesh,24.57726,80.82719,Sultanpur,Uttar Pradesh,26.25788,82.07269,224.873,281.603,1.25228,osrm
Rewari,Haryana,28.19900,76.61830,Delhi,Delhi,28.65195,77.23149,78.309,92.007,1.17493,osrm
Hazaribagh,Jharkhand,23.99241,85.36162,Bokaro,Jharkhand,23.66934,86.15161,88.018,128.762,1.46290,osrm
Ghazipur,Uttar Pradesh,25.58333,83.58526,Bhiwani,Haryana,28.79304,76.13968,818.111,963.409,1.17760,osrm
Saugor,Madhya Pradesh,23.83877,78.73874,Gandhidham,Gujarat,23.08333,70.13333,881.645,1116.164,1.26600,osrm
Nashik,Maharashtra,19.99727,73.79096,Sholapur,Maharashtra,17.67152,75.91044,341.503,385.611,1.12916,osrm
Fyzabad,Uttar Pradesh,26.77549,82.15018,Baranagar,West Bengal,22.64132,88.37727,778.878,871.150,1.11847,osrm
Patna,Bihar,25.59408,85.13563,Satna,Madhya Pradesh,24.57726,80.82719,448.351,514.057,1.14655,osrm
Bhilwara,Rajasthan,25.34707,74.64081,Kishangarh,Rajasthan,26.59006,74.85397,139.847,152.528,1.09068,osrm
Thiruvananthapuram,Kerala,8.48550,76.94924,Ballari,Karnataka,15.14205,76.92398,740.181,903.456,1.22059,osrm
Tadepalligudem,Andhra Pradesh,16.81467,81.52717,Tadpatri,Andhra Pradesh,14.90832,78.01031,431.760,525.187,1.21639,osrm
Sujangarh,Rajasthan,27.70000,74.46667,Udaipur,Rajasthan,24.58584,73.71346,354.344,439.273,1.23968,osrm
Patan,Gujarat,23.85070,72.12963,Junagadh,Gujarat,21.51966,70.45981,310.686,367.351,1.18238,osrm
Azamgarh,Uttar Pradesh,26.06832,83.18358,Bundi,Rajasthan,25.43855,75.63735,758.885,924.535,1.21828,osrm
Baidyabati,West Bengal,22.78498,88.32586,Raj-Nandgaon,Chhattisgarh,21.09687,81.02890,775.564,913.706,1.17812,osrm
Palwal,Haryana,28.14469,77.32546,Loni,Uttar Pradesh,28.75143,77.29023,67.554,76.867,1.13785,osrm
Ambarnath,Maharashtra,19.20000,73.16667,Bhilai,Chhattisgarh,21.20919,81.42850,890.475,1014.861,1.13969,osrm
Nandyal,Andhra Pradesh,15.47799,78.48360,Proddatur,Andhra Pradesh,14.75020,78.54813,81.223,94.439,1.16272,osrm
Bhayandar,Maharashtra,19.30157,72.85107,Vapi,Gujarat,20.37175,72.90493,119.132,142.329,1.19471,osrm
Durgapur,West Bengal,23.51583,87.30801,Saharsa,Bihar,25.87498,86.59611,272.004,418.857,1.53989,osrm
Virar,Maharashtra,19.45591,72.81136,Ambarnath,Maharashtra,19.20000,73.16667,46.901,61.261,1.30619,osrm
Kanpur,Uttar Pradesh,26.46523,80.34975,Raebareli,Uttar Pradesh,26.23090,81.23315,91.800,121.633,1.32497,osrm
Udupi,Karnataka,13.33467,74.74617,Dharmavaram,Andhra Pradesh,14.41435,77.72035,342.770,421.484,1.22964,osrm
Malappuram,Kerala,11.04199,76.08154,Cuddalore,Tamil Nadu,11.75617,79.76693,409.482,492.796,1.20346,osrm
Dohad,Gujarat,22.83283,74.25986,Godhra,Gujarat,22.77547,73.61488,66.420,74.803,1.12622,osrm
Tadepalligudem,Andhra Pradesh,16.81467,81.52717,Nalgonda,Telangana,17.05439,79.26707,241.886,280.850,1.16108,osrm
Dinapur Nizamat,Bihar,25.63847,85.05118,Pali,Rajasthan,25.77276,73.32335,1174.726,1365.160,1.16211,osrm
Munger,Bihar,25.37459,86.47455,Najafgarh,Delhi,28.60922,76.97982,1006.760,1183.065,1.17512,osrm
Chapra,Bihar,25.78031,84.74709,Munger,Bihar,25.37459,86.47455,179.037,217.441,1.21451,osrm
Dhule,Maharashtra,20.90130,74.77737,Jaipur,Rajasthan,26.91962,75.78781,677.033,796.527,1.17650,osrm
Kolhapur,Maharashtra,16.69563,74.23167,Pimpri,Maharashtra,18.62292,73.80696,218.978,243.238,1.11078,osrm
Azamgarh,Uttar Pradesh,26.06832,83.18358,Ghazipur,Uttar Pradesh,25.58333,83.58526,67.265,73.024,1.08562,osrm
Betul,Madhya Pradesh,21.90056,77.90229,Mulugu,Telangana,18.19100,79.94300,464.287,619.867,1.33510,osrm
Korba,Chhattisgarh,22.34580,82.69633,Machilipatnam,Andhra Pradesh,16.18747,81.13888,703.995,982.299,1.39532,osrm
Kaithal,Haryana,29.80153,76.39959,Sawai Madhopur,Rajasthan,26.02301,76.34408,420.188,501.826,1.19429,osrm
Panvel,Maharashtra,18.98878,73.11013,Vizianagaram,Andhra Pradesh,18.11692,83.41148,1090.088,1299.581,1.19218,osrm
Chas,Jharkhand,23.63556,86.16712,Sawai Madhopur,Rajasthan,26.02301,76.34408,1025.917,1233.187,1.20203,osrm
Sultanpur,Uttar Pradesh,26.25788,82.07269,Chhindwara,Madhya Pradesh,22.05697,78.93958,564.951,675.727,1.19608,osrm
Singrauli,Madhya Pradesh,24.19973,82.67535,Giridih,Jharkhand,24.18622,86.30875,368.524,491.393,1.33341,osrm
Ambarnath,Maharashtra,19.20000,73.16667,Gandhinagar,Gujarat,23.21667,72.68333,449.434,520.015,1.15704,osrm
Ramagundam,Telangana,18.75500,79.47400,Sangli,Maharashtra,16.85438,74.56417,561.078,715.658,1.27551,osrm
Yamuna Nagar,Haryana,30.12796,77.28371,Sawai Madhopur,Rajasthan,26.02301,76.34408,465.659,532.966,1.14454,osrm
Surat,Gujarat,21.19594,72.83023,Khurja,Uttar Pradesh,28.25382,77.85535,934.319,1085.899,1.16224,osrm
Srikakulam,Andhra Pradesh,18.29890,83.89751,Firozabad,Uttar Pradesh,27.15092,78.39781,1134.026,1516.715,1.33746,osrm
Moradabad,Uttar Pradesh,28.83893,78.77684,Kota,Rajasthan,25.18254,75.83907,499.947,619.264,1.23866,osrm
Kaithal,Haryana,29.80153,76.39959,Sikar,Rajasthan,27.61206,75.13996,272.691,338.900,1.24280,osrm
