start_city,start_state,destination_city,destination_state,distance_km,vehicle_type,fuel_type,mileage,fuel_price,passengers,departure_hour,month,traffic_level,weather_condition,toll_cost,parking_cost,estimated_time_minutes,fuel_consumption_litres,total_trip_cost,cost_per_km,cost_band
Bangaon,West Bengal,Halisahar,West Bengal,51.14,Sedan,Petrol,16.43,116.3,3,3,2,Low,Cloudy,59.4,120.0,45.46,2.938,554.77,10.848,Poor
Rudrapur,Uttarakhand,Saharanpur,Uttar Pradesh,270.12,Hatchback,Diesel,16.99,96.2,3,16,4,High,Clear,205.61,80.0,344.52,18.522,2235.94,8.278,Good
Rudrapur,Uttarakhand,Saharanpur,Uttar Pradesh,264.59,SUV,Petrol,10.67,103.69,4,8,3,High,Cloudy,380.72,60.0,347.46,28.889,3667.81,13.862,Poor
Rudrapur,Uttarakhand,Saharanpur,Uttar Pradesh,242.02,Hatchback,CNG,17.71,79.81,1,18,6,High,Clear,417.36,0.0,300.98,15.921,1798.32,7.43,Excellent
Rudrapur,Uttarakhand,Saharanpur,Uttar Pradesh,276.07,SUV,Diesel,11.25,98.03,4,18,3,Medium,Clear,475.88,40.0,304.34,25.644,3250.07,11.773,Poor
Rudrapur,Uttarakhand,Saharanpur,Uttar Pradesh,242.18,Sedan,CNG,13.87,83.04,3,12,9,Low,Rain,300.81,60.0,231.8,16.483,1919.4,7.926,Excellent
Puruliya,West Bengal,Bahraigh,Uttar Pradesh,791.53,Hatchback,Diesel,18.51,103.25,1,4,1,Low,Clear,716.9,150.0,731.83,40.368,5508.1,6.959,Excellent
Puruliya,West Bengal,Bahraigh,Uttar Pradesh,874.51,SUV,Petrol,13.24,115.86,3,9,1,Low,Clear,1788.47,80.0,778.01,62.352,9788.72,11.193,Poor
Puruliya,West Bengal,Bahraigh,Uttar Pradesh,815.69,Sedan,Petrol,15.74,115.35,1,22,12,Low,Fog,1458.71,0.0,735.34,48.921,7685.19,9.422,Average
Puruliya,West Bengal,Bahraigh,Uttar Pradesh,821.05,Hatchback,Petrol,19.55,111.62,5,20,5,High,Clear,1143.04,60.0,996.91,48.927,7185.68,8.752,Good
Puruliya,West Bengal,Bahraigh,Uttar Pradesh,834.01,Sedan,Diesel,18.41,106.17,5,6,5,Low,Clear,1008.74,40.0,802.72,42.765,6089.94,7.302,Excellent
Kamarhati,West Bengal,Bhadrak,Odisha,301.47,Hatchback,Petrol,20.67,115.92,3,11,6,High,Rain,349.99,150.0,370.63,16.991,2622.79,8.7,Good
Kamarhati,West Bengal,Bhadrak,Odisha,336.72,SUV,Diesel,10.88,102.53,5,2,2,Medium,Cloudy,572.8,0.0,352.84,32.341,4175.05,12.399,Poor
Kamarhati,West Bengal,Bhadrak,Odisha,322.72,Sedan,Diesel,20.0,104.33,4,7,7,High,Clear,276.17,80.0,421.61,18.798,2511.81,7.783,Excellent
Kamarhati,West Bengal,Bhadrak,Odisha,330.25,Hatchback,Petrol,17.84,110.34,1,8,5,Medium,Cloudy,309.07,80.0,335.23,19.345,2680.41,8.116,Good
Kamarhati,West Bengal,Bhadrak,Odisha,358.64,Sedan,CNG,13.25,91.21,2,18,2,Medium,Cloudy,558.45,80.0,363.1,28.285,3489.93,9.731,Average
Dhanbad,Jharkhand,Sasaram,Bihar,332.35,SUV,CNG,11.91,82.91,2,0,11,Medium,Clear,357.9,0.0,349.37,29.161,3080.06,9.268,Average
Dhanbad,Jharkhand,Sasaram,Bihar,355.16,Sedan,CNG,13.12,83.39,5,7,12,Medium,Fog,393.41,80.0,381.44,28.288,3068.12,8.639,Good
Dhanbad,Jharkhand,Sasaram,Bihar,318.36,Hatchback,Petrol,18.49,108.31,3,19,10,Medium,Clear,445.81,40.0,323.18,17.993,2629.83,8.261,Good
Dhanbad,Jharkhand,Sasaram,Bihar,343.5,SUV,Petrol,11.57,104.99,2,1,1,Medium,Clear,757.04,80.0,377.29,31.025,4330.96,12.608,Poor
Dhanbad,Jharkhand,Sasaram,Bihar,355.9,Sedan,Petrol,16.78,106.42,3,4,3,High,Clear,406.69,40.0,454.69,24.709,3330.6,9.358,Average
Gandhinagar,Gujarat,Lalitpur,Uttar Pradesh,765.17,Hatchback,Diesel,19.89,99.1,2,7,10,Low,Clear,858.55,80.0,678.84,36.316,5040.77,6.588,Excellent
Gandhinagar,Gujarat,Lalitpur,Uttar Pradesh,722.57,Sedan,Petrol,17.34,102.74,2,1,1,Medium,Cloudy,913.95,80.0,763.36,43.546,6008.0,8.315,Good
Gandhinagar,Gujarat,Lalitpur,Uttar Pradesh,771.98,Sedan,Petrol,14.18,105.75,1,19,6,Medium,Rain,963.69,80.0,790.75,56.891,7497.89,9.713,Average
Gandhinagar,Gujarat,Lalitpur,Uttar Pradesh,750.4,Sedan,Petrol,15.58,102.98,3,21,1,High,Clear,871.85,60.0,906.35,56.111,7186.85,9.577,Average
Gandhinagar,Gujarat,Lalitpur,Uttar Pradesh,752.71,Hatchback,Petrol,19.42,107.7,5,15,7,Medium,Rain,1170.27,40.0,790.8,40.504,5955.94,7.913,Excellent
Orai,Uttar Pradesh,Faridabad,Haryana,361.74,Sedan,Diesel,15.62,97.36,1,5,7,Low,Clear,517.79,60.0,346.33,21.862,2968.11,8.205,Good
Orai,Uttar Pradesh,Faridabad,Haryana,393.0,Hatchback,Petrol,16.69,104.57,3,15,9,Low,Fog,850.37,60.0,376.95,22.228,3427.14,8.72,Good
Orai,Uttar Pradesh,Faridabad,Haryana,419.44,SUV,Diesel,13.62,98.72,4,7,5,Medium,Cloudy,631.46,0.0,428.29,32.182,4184.81,9.977,Average
Orai,Uttar Pradesh,Faridabad,Haryana,392.8,Hatchback,Diesel,19.2,93.76,5,13,4,Low,Clear,466.99,0.0,350.26,19.313,2489.44,6.338,Excellent
Orai,Uttar Pradesh,Faridabad,Haryana,362.65,Hatchback,Diesel,20.58,95.56,4,19,5,Medium,Cloudy,251.24,80.0,390.67,18.414,2306.84,6.361,Excellent
Saugor,Madhya Pradesh,Morena,Madhya Pradesh,411.27,Hatchback,Diesel,18.6,105.43,1,0,3,Medium,Cloudy,559.83,80.0,415.75,23.106,3298.94,8.021,Good
Saugor,Madhya Pradesh,Morena,Madhya Pradesh,387.4,SUV,Diesel,12.75,102.33,4,20,1,High,Clear,558.83,0.0,503.19,35.398,4470.75,11.54,Poor
Saugor,Madhya Pradesh,Morena,Madhya Pradesh,396.02,Hatchback,Petrol,17.72,114.15,4,23,7,Low,Clear,468.4,60.0,353.31,21.097,3124.83,7.891,Excellent
Saugor,Madhya Pradesh,Morena,Madhya Pradesh,348.45,Sedan,Petrol,14.61,114.21,1,2,9,High,Clear,475.72,150.0,422.91,27.785,4047.94,11.617,Poor
Saugor,Madhya Pradesh,Morena,Madhya Pradesh,378.02,Hatchback,Petrol,20.67,114.04,5,6,10,High,Rain,502.91,0.0,473.34,21.306,3121.34,8.257,Good
Bali,West Bengal,Cuttack,Odisha,407.67,SUV,Diesel,15.66,102.69,4,8,7,High,Clear,480.84,60.0,510.58,30.328,4058.84,9.956,Average
Bali,West Bengal,Cuttack,Odisha,430.24,SUV,Petrol,10.1,110.71,1,20,7,High,Rain,414.59,120.0,544.31,49.627,6346.98,14.752,Poor
Bali,West Bengal,Cuttack,Odisha,447.48,SUV,Diesel,13.1,102.77,3,12,3,Medium,Clear,271.16,120.0,457.12,35.696,4449.03,9.942,Average
Bali,West Bengal,Cuttack,Odisha,461.38,Hatchback,Petrol,17.79,115.2,1,20,5,High,Clear,903.07,0.0,592.64,30.214,4618.0,10.009,Average
Bali,West Bengal,Cuttack,Odisha,474.04,SUV,Diesel,11.24,107.07,4,14,4,Low,Clear,782.62,150.0,445.4,39.813,5627.38,11.871,Poor
Kukatpally,Telangana,Madurai,Tamil Nadu,1056.52,Sedan,Petrol,15.9,115.03,5,6,2,Low,Clear,957.29,60.0,1003.31,62.727,8878.35,8.403,Good
Kukatpally,Telangana,Madurai,Tamil Nadu,905.97,Hatchback,Petrol,14.83,116.25,5,6,10,Medium,Clear,935.01,150.0,964.63,63.839,9061.14,10.002,Average
Kukatpally,Telangana,Madurai,Tamil Nadu,1182.33,Sedan,Diesel,14.59,107.4,1,3,8,Low,Clear,1797.16,40.0,1076.0,76.499,10847.94,9.175,Average
Kukatpally,Telangana,Madurai,Tamil Nadu,1095.27,Hatchback,Diesel,17.69,106.86,4,9,10,Low,Clear,1338.3,150.0,995.77,58.447,8383.62,7.654,Excellent
Kukatpally,Telangana,Madurai,Tamil Nadu,989.13,SUV,Petrol,13.9,113.21,1,8,3,Medium,Clear,1014.58,120.0,1023.56,74.363,10509.04,10.625,Poor
Chirmiri,Chhattisgarh,Tadepalligudem,Andhra Pradesh,901.71,Sedan,Petrol,13.7,110.13,4,12,8,High,Clear,938.72,120.0,1135.27,76.678,10130.15,11.234,Poor
Chirmiri,Chhattisgarh,Tadepalligudem,Andhra Pradesh,876.46,Hatchback,Diesel,21.13,102.28,1,3,4,Low,Clear,1672.08,80.0,769.47,39.157,6285.74,7.172,Excellent
Chirmiri,Chhattisgarh,Tadepalligudem,Andhra Pradesh,962.88,Sedan,CNG,15.94,83.11,2,14,4,Low,Clear,942.83,80.0,854.91,57.024,6324.56,6.568,Excellent
Chirmiri,Chhattisgarh,Tadepalligudem,Andhra Pradesh,973.45,SUV,Petrol,9.52,105.02,1,2,5,Low,Clear,616.2,150.0,920.4,96.527,11798.01,12.12,Poor
Chirmiri,Chhattisgarh,Tadepalligudem,Andhra Pradesh,868.46,Sedan,Diesel,17.57,98.28,1,10,2,High,Cloudy,1033.05,150.0,1074.23,57.584,7334.02,8.445,Good
Kharagpur,West Bengal,Phusro,Jharkhand,244.98,Sedan,Diesel,16.27,104.79,2,5,10,Low,Cloudy,404.57,120.0,226.15,14.214,2159.22,8.814,Good
Kharagpur,West Bengal,Phusro,Jharkhand,276.91,Hatchback,Petrol,18.78,116.09,3,13,4,Low,Cloudy,413.34,0.0,265.57,13.919,2164.75,7.818,Excellent
Kharagpur,West Bengal,Phusro,Jharkhand,241.21,Hatchback,Diesel,21.89,102.4,1,7,7,Low,Clear,223.27,80.0,227.25,10.402,1489.75,6.176,Excellent
Kharagpur,West Bengal,Phusro,Jharkhand,217.87,Sedan,Petrol,17.63,113.89,5,23,6,Low,Rain,319.1,120.0,202.48,11.666,1939.46,8.902,Good
Kharagpur,West Bengal,Phusro,Jharkhand,256.79,SUV,Petrol,10.37,112.61,4,14,6,Low,Rain,377.96,60.0,233.92,23.376,3326.96,12.956,Poor
Alwar,Rajasthan,Sri Ganganagar,Rajasthan,474.89,Sedan,Petrol,14.55,110.8,5,5,5,Medium,Clear,581.71,80.0,516.23,34.107,4808.04,10.125,Average
Alwar,Rajasthan,Sri Ganganagar,Rajasthan,431.64,Hatchback,Petrol,15.08,108.25,4,12,6,Medium,Rain,288.94,40.0,467.68,29.911,3826.99,8.866,Good
Alwar,Rajasthan,Sri Ganganagar,Rajasthan,426.3,SUV,CNG,9.93,88.87,1,14,5,High,Cloudy,401.75,80.0,539.92,50.014,5344.69,12.537,Poor
Alwar,Rajasthan,Sri Ganganagar,Rajasthan,471.37,Sedan,Petrol,15.49,110.94,3,20,12,High,Clear,438.6,120.0,593.4,35.452,4854.09,10.298,Average
Alwar,Rajasthan,Sri Ganganagar,Rajasthan,462.52,Sedan,Petrol,15.46,110.73,2,15,9,Medium,Clear,836.42,80.0,471.61,31.263,4691.9,10.144,Average
Khanna,Punjab,Batala,Punjab,207.83,Hatchback,CNG,15.5,80.51,5,20,7,Medium,Rain,304.76,120.0,221.7,14.012,1663.22,8.003,Good
Khanna,Punjab,Batala,Punjab,198.48,Sedan,Diesel,19.49,95.96,5,19,6,Medium,Rain,329.34,60.0,205.98,10.642,1553.59,7.827,Excellent
Khanna,Punjab,Batala,Punjab,204.68,Hatchback,Diesel,22.92,98.96,1,8,11,Medium,Clear,236.45,40.0,215.73,9.332,1303.88,6.37,Excellent
Khanna,Punjab,Batala,Punjab,194.55,Hatchback,Diesel,21.25,94.9,5,13,12,Low,Clear,244.9,60.0,182.52,8.643,1242.5,6.387,Excellent
Khanna,Punjab,Batala,Punjab,208.21,Sedan,Diesel,15.63,96.41,4,6,6,Medium,Clear,273.97,60.0,210.17,13.921,1811.43,8.7,Good
Sambhal,Uttar Pradesh,Haldwani,Uttarakhand,136.33,Sedan,CNG,12.68,79.06,1,22,5,Medium,Cloudy,167.61,150.0,146.38,11.235,1295.11,9.5,Average
Sambhal,Uttar Pradesh,Haldwani,Uttarakhand,146.02,Hatchback,Petrol,18.09,106.68,5,18,2,High,Cloudy,204.71,0.0,187.93,9.404,1303.89,8.93,Good
Sambhal,Uttar Pradesh,Haldwani,Uttarakhand,130.46,Hatchback,Petrol,20.51,103.53,4,22,8,Low,Cloudy,211.64,150.0,123.0,6.005,1045.17,8.011,Good
Sambhal,Uttar Pradesh,Haldwani,Uttarakhand,147.78,Hatchback,Petrol,20.95,104.99,1,19,11,High,Clear,232.18,0.0,191.78,8.218,1164.13,7.877,Excellent
Sambhal,Uttar Pradesh,Haldwani,Uttarakhand,144.99,Sedan,Petrol,15.9,105.47,4,4,6,Low,Rain,172.56,40.0,131.75,8.608,1217.28,8.396,Good
Barnala,Punjab,Haridwar,Uttarakhand,268.29,SUV,Petrol,13.41,104.83,5,20,3,High,Clear,249.28,0.0,347.12,23.308,2872.85,10.708,Poor
Barnala,Punjab,Haridwar,Uttarakhand,325.2,SUV,Diesel,11.64,97.17,4,14,4,Medium,Cloudy,361.65,150.0,333.52,29.195,3648.94,11.221,Poor
Barnala,Punjab,Haridwar,Uttarakhand,299.02,Sedan,Petrol,12.76,104.16,1,15,5,Medium,Cloudy,256.19,40.0,309.78,24.489,3078.29,10.295,Average
Barnala,Punjab,Haridwar,Uttarakhand,327.89,Hatchback,Diesel,21.32,97.93,2,0,3,Low,Clear,493.25,120.0,302.7,14.518,2186.42,6.668,Excellent
Barnala,Punjab,Haridwar,Uttarakhand,309.34,Sedan,Diesel,19.81,98.28,5,9,7,Low,Rain,692.35,80.0,278.86,14.741,2407.04,7.781,Excellent
Jhansi,Uttar Pradesh,Sujangarh,Rajasthan,629.11,Sedan,Petrol,15.52,102.8,5,16,2,High,Clear,302.38,150.0,797.12,47.224,5752.94,9.145,Average
Jhansi,Uttar Pradesh,Sujangarh,Rajasthan,547.03,Sedan,Petrol,18.15,105.3,2,4,10,Low,Clear,740.04,60.0,515.1,28.452,4140.09,7.568,Excellent
Jhansi,Uttar Pradesh,Sujangarh,Rajasthan,502.86,Sedan,CNG,14.6,80.41,1,4,3,Low,Clear,811.38,120.0,475.4,32.514,3950.22,7.856,Excellent
Jhansi,Uttar Pradesh,Sujangarh,Rajasthan,599.1,Hatchback,Petrol,15.92,104.47,2,15,3,High,Clear,730.66,150.0,726.93,43.841,5843.16,9.753,Average
Jhansi,Uttar Pradesh,Sujangarh,Rajasthan,601.17,Sedan,Petrol,16.86,105.33,2,5,11,High,Clear,810.62,60.0,784.97,41.54,5620.63,9.349,Average
Tiruchirappalli,Tamil Nadu,Shivamogga,Karnataka,568.46,Hatchback,Diesel,20.07,98.26,4,1,2,Low,Cloudy,438.08,60.0,497.35,26.738,3457.43,6.082,Excellent
Tiruchirappalli,Tamil Nadu,Shivamogga,Karnataka,624.6,SUV,Diesel,14.41,99.98,5,23,9,Low,Rain,996.0,60.0,558.53,40.918,5620.31,8.998,Good
Tiruchirappalli,Tamil Nadu,Shivamogga,Karnataka,579.74,SUV,Diesel,15.6,102.29,2,12,6,Medium,Clear,361.57,120.0,595.04,38.835,4987.51,8.603,Good
Tiruchirappalli,Tamil Nadu,Shivamogga,Karnataka,607.03,Sedan,Petrol,14.38,105.39,1,16,12,Medium,Clear,786.39,40.0,621.57,44.113,5821.08,9.589,Average
Tiruchirappalli,Tamil Nadu,Shivamogga,Karnataka,599.49,Hatchback,Diesel,22.02,98.94,3,3,8,Low,Rain,590.16,80.0,523.61,25.7,3496.83,5.833,Excellent
Muzaffarpur,Bihar,Aligarh,Uttar Pradesh,1058.44,Sedan,CNG,13.48,86.13,2,16,11,Medium,Clear,609.27,150.0,1112.2,82.053,8454.6,7.988,Excellent
Muzaffarpur,Bihar,Aligarh,Uttar Pradesh,1030.54,SUV,CNG,10.69,85.37,5,16,2,High,Clear,949.3,40.0,1358.52,112.309,11457.97,11.118,Poor
Muzaffarpur,Bihar,Aligarh,Uttar Pradesh,993.52,Sedan,Diesel,16.74,101.25,1,15,8,Medium,Clear,1173.9,150.0,1099.69,62.021,8185.38,8.239,Good
Muzaffarpur,Bihar,Aligarh,Uttar Pradesh,824.08,Sedan,CNG,13.12,87.85,3,3,8,Low,Fog,927.73,120.0,728.83,59.294,6867.82,8.334,Good
Muzaffarpur,Bihar,Aligarh,Uttar Pradesh,923.84,Sedan,Petrol,16.84,111.55,3,10,12,High,Clear,887.48,120.0,1214.51,63.912,8770.74,9.494,Average
Nagaur,Rajasthan,Dohad,Gujarat,672.22,Hatchback,Diesel,19.39,100.63,1,23,8,Low,Clear,795.56,120.0,624.44,32.727,4605.22,6.851,Excellent
Nagaur,Rajasthan,Dohad,Gujarat,639.15,Hatchback,Diesel,19.78,102.05,4,22,8,High,Rain,608.71,40.0,776.11,37.645,4898.49,7.664,Excellent
Nagaur,Rajasthan,Dohad,Gujarat,617.43,Hatchback,Petrol,14.65,110.05,5,20,5,Medium,Clear,1052.31,80.0,675.98,44.042,6341.72,10.271,Average
Nagaur,Rajasthan,Dohad,Gujarat,656.54,Hatchback,Diesel,18.17,105.13,3,8,11,Medium,Clear,1005.56,80.0,674.32,37.759,5360.43,8.165,Good
Nagaur,Rajasthan,Dohad,Gujarat,513.15,Sedan,CNG,11.83,85.37,2,23,7,Medium,Rain,558.77,150.0,538.83,45.329,4934.15,9.615,Average
Karol Bagh,Delhi,Hisar,Haryana,161.09,Sedan,CNG,13.76,80.49,3,5,1,High,Clear,93.29,80.0,206.4,13.639,1401.99,8.703,Good
Karol Bagh,Delhi,Hisar,Haryana,194.66,SUV,Diesel,12.21,96.67,2,15,1,Low,Fog,182.98,120.0,186.01,15.05,1895.45,9.737,Average
Karol Bagh,Delhi,Hisar,Haryana,195.22,Sedan,Petrol,14.07,101.55,1,8,12,High,Clear,225.02,40.0,256.82,16.164,2068.61,10.596,Poor
Karol Bagh,Delhi,Hisar,Haryana,165.11,SUV,Petrol,8.84,99.19,2,8,6,High,Rain,224.38,80.0,208.06,21.759,2590.17,15.688,Poor
Karol Bagh,Delhi,Hisar,Haryana,161.09,Sedan,Petrol,14.64,101.82,1,21,2,High,Cloudy,266.74,60.0,208.84,12.819,1742.09,10.814,Poor
Avadi,Tamil Nadu,Mandya,Karnataka,372.19,Hatchback,Diesel,22.18,98.94,3,6,7,Medium,Cloudy,718.08,120.0,387.33,17.536,2808.97,7.547,Excellent
Avadi,Tamil Nadu,Mandya,Karnataka,448.77,SUV,Petrol,13.33,106.33,1,17,10,High,Cloudy,535.08,60.0,591.11,39.221,5202.28,11.592,Poor
Avadi,Tamil Nadu,Mandya,Karnataka,439.92,SUV,Petrol,12.16,108.34,4,23,7,Low,Clear,797.07,80.0,390.71,34.152,4995.78,11.356,Poor
Avadi,Tamil Nadu,Mandya,Karnataka,389.75,Sedan,Petrol,16.1,110.13,2,20,8,Medium,Fog,300.89,80.0,409.05,25.297,3484.36,8.94,Good
Avadi,Tamil Nadu,Mandya,Karnataka,416.51,SUV,Petrol,10.28,105.82,4,18,8,Medium,Clear,356.99,60.0,421.32,42.34,5226.13,12.547,Poor
Mirzapur,Uttar Pradesh,Hathras,Uttar Pradesh,622.27,Hatchback,Petrol,16.02,105.01,2,1,7,Low,Rain,593.53,60.0,571.2,36.668,4819.58,7.745,Excellent
Mirzapur,Uttar Pradesh,Hathras,Uttar Pradesh,707.75,Hatchback,Diesel,21.86,98.85,4,6,2,Low,Cloudy,1228.67,120.0,646.92,30.563,4709.53,6.654,Excellent
Mirzapur,Uttar Pradesh,Hathras,Uttar Pradesh,614.41,Hatchback,Petrol,19.79,104.16,1,11,10,High,Clear,636.41,40.0,755.55,36.169,4766.01,7.757,Excellent
Mirzapur,Uttar Pradesh,Hathras,Uttar Pradesh,592.95,Hatchback,Petrol,20.56,100.52,4,6,12,Medium,Fog,963.66,0.0,612.11,30.138,4331.27,7.305,Excellent
Mirzapur,Uttar Pradesh,Hathras,Uttar Pradesh,675.09,Hatchback,Diesel,20.09,96.56,2,11,8,Low,Rain,959.31,40.0,638.56,31.722,4474.75,6.628,Excellent
Bettiah,Bihar,Sirsa,Haryana,1290.49,Sedan,Petrol,14.81,109.87,2,9,10,Medium,Cloudy,1499.25,80.0,1424.17,91.058,12641.09,9.796,Average
Bettiah,Bihar,Sirsa,Haryana,1167.96,SUV,Petrol,10.68,108.67,4,8,9,Medium,Cloudy,1577.59,0.0,1178.02,114.281,14818.19,12.687,Poor
Bettiah,Bihar,Sirsa,Haryana,1104.87,SUV,Diesel,13.33,100.62,4,7,12,Low,Clear,1772.5,150.0,969.18,78.244,10751.35,9.731,Average
Bettiah,Bihar,Sirsa,Haryana,1347.24,SUV,Diesel,14.67,100.67,1,14,11,High,Clear,1378.71,150.0,1769.65,106.989,13618.98,10.109,Average
Bettiah,Bihar,Sirsa,Haryana,1242.85,SUV,Petrol,9.6,108.31,2,0,6,Medium,Fog,1157.66,80.0,1277.07,135.289,17007.36,13.684,Poor
Gondal,Gujarat,Dharavi,Maharashtra,472.7,Sedan,Petrol,13.25,106.8,2,19,2,Low,Cloudy,260.71,0.0,415.96,33.678,4228.19,8.945,Good
Gondal,Gujarat,Dharavi,Maharashtra,484.92,SUV,Petrol,11.06,108.0,3,19,7,High,Rain,778.28,60.0,610.65,51.079,6764.3,13.949,Poor
Gondal,Gujarat,Dharavi,Maharashtra,493.88,Hatchback,Petrol,15.52,106.67,3,6,7,Medium,Cloudy,563.15,120.0,530.25,33.254,4525.23,9.163,Average
Gondal,Gujarat,Dharavi,Maharashtra,501.25,Sedan,Diesel,16.2,100.3,2,12,3,Low,Rain,546.24,0.0,470.44,29.209,3760.41,7.502,Excellent
Gondal,Gujarat,Dharavi,Maharashtra,433.86,Sedan,Diesel,17.95,96.87,5,2,11,High,Clear,685.87,120.0,561.4,28.159,3796.74,8.751,Good
Palakkad,Kerala,Coimbatore,Tamil Nadu,56.35,Sedan,Diesel,17.51,100.34,4,10,1,High,Clear,39.46,0.0,68.86,3.749,459.47,8.154,Good
Palakkad,Kerala,Coimbatore,Tamil Nadu,50.26,Sedan,Petrol,13.74,107.27,3,12,1,Medium,Clear,32.38,0.0,52.3,3.823,472.32,9.398,Average
Palakkad,Kerala,Coimbatore,Tamil Nadu,50.0,Hatchback,Petrol,16.0,107.01,2,22,5,Medium,Cloudy,60.68,120.0,55.4,3.266,553.84,11.077,Poor
Palakkad,Kerala,Coimbatore,Tamil Nadu,50.0,Hatchback,Petrol,18.45,112.42,1,23,7,Low,Rain,84.99,80.0,45.8,2.558,482.86,9.657,Average
Palakkad,Kerala,Coimbatore,Tamil Nadu,58.42,Hatchback,Petrol,14.86,111.64,1,22,3,Low,Cloudy,54.09,40.0,51.22,3.711,543.01,9.295,Average
Khanna,Punjab,Guna,Madhya Pradesh,836.01,Hatchback,Petrol,18.24,106.85,3,1,1,Low,Clear,1143.86,120.0,742.52,43.267,6358.79,7.606,Excellent
Khanna,Punjab,Guna,Madhya Pradesh,814.86,Sedan,Diesel,18.64,98.49,4,14,9,Medium,Cloudy,987.2,80.0,856.02,45.683,6232.94,7.649,Excellent
Khanna,Punjab,Guna,Madhya Pradesh,823.36,Hatchback,CNG,13.75,82.87,1,15,12,Medium,Clear,1081.55,80.0,873.04,62.575,6748.52,8.196,Good
Khanna,Punjab,Guna,Madhya Pradesh,927.63,SUV,Diesel,13.44,97.78,1,12,6,High,Rain,1323.19,0.0,1206.33,80.408,9902.94,10.676,Poor
Khanna,Punjab,Guna,Madhya Pradesh,845.11,SUV,Diesel,13.62,94.49,5,7,6,Low,Rain,918.28,120.0,756.39,58.574,7391.46,8.746,Good
Balasore,Odisha,Bhimavaram,Andhra Pradesh,1007.12,SUV,CNG,13.18,86.0,1,3,3,Low,Fog,1303.12,40.0,933.17,72.134,8361.88,8.303,Good
Balasore,Odisha,Bhimavaram,Andhra Pradesh,985.62,Sedan,Diesel,17.41,100.14,3,7,1,Medium,Clear,1016.15,0.0,1003.6,59.16,7564.64,7.675,Excellent
Balasore,Odisha,Bhimavaram,Andhra Pradesh,1051.48,Sedan,CNG,14.98,82.74,3,14,1,Low,Cloudy,1496.56,40.0,949.18,66.261,7864.5,7.479,Excellent
Balasore,Odisha,Bhimavaram,Andhra Pradesh,1025.03,SUV,Diesel,14.49,100.18,5,0,10,Low,Clear,1430.44,0.0,957.05,66.779,8981.09,8.762,Good
Balasore,Odisha,Bhimavaram,Andhra Pradesh,965.45,Sedan,Diesel,14.13,99.94,5,18,8,High,Cloudy,725.59,150.0,1192.87,79.6,9419.62,9.757,Average
