a,b,road_km
Agartala,Latur,2038.444
Agartala,Lucknow,1358.349
Agartala,Ludhiana,2102.269
Agartala,Madurai,2542.698
Agartala,Mangaluru,2561.981
Agartala,Mathura,1713.216
Agartala,Meerut,1802.307
Agartala,Moradabad,1710.657
Agartala,Mumbai,2303.060
Agartala,Muzaffarnagar,1859.051
Agartala,Muzaffarpur,903.203
Agartala,Mysuru,2385.144
Agartala,Nagercoil,2793.995
Agartala,Nagpur,1530.968
Agartala,Nanded,1919.571
Agartala,Nashik,2150.883
Agartala,Nellore,1916.552
Agartala,Pathankot,2273.068
Agartala,Patiala,2045.891
Agartala,Patna,888.525
Agartala,Prayagraj,1182.425
Agartala,Puducherry,2258.928
Agartala,Pune,2204.983
Agartala,Purnia,574.671
Agartala,Raipur,1245.328
Agartala,Rajamahendravaram,1474.184
Agartala,Rajapalayam,2661.086
Agartala,Rajkot,2581.140
Agartala,Ranchi,814.970
Agartala,Ratlam,2130.255
Agartala,Rewa,1275.877
Agartala,Rohtak,1914.361
Agartala,Rourkela,872.423
Agartala,Saharanpur,1932.841
Agartala,Salem,2344.494
Agartala,Sambalpur,972.349
Agartala,Satna,1334.387
Agartala,Saugor,1635.171
Agartala,Shillong,293.171
Agartala,Shimla,2161.093
Agartala,Shivamogga,2370.491
Agartala,Sholapur,2164.789
Agartala,Silchar,276.948
Agartala,Siliguri,568.495
Agartala,Sitapur,1445.466
Agartala,Sonipat,1873.115
Agartala,Srinagar,2580.483
Agartala,Surat,2301.153
Agartala,Thanjavur,2419.659
Agartala,Thiruvananthapuram,2862.726
Agartala,Thrissur,2620.073
Agartala,Tiruchirappalli,2414.286
Agartala,Tirunelveli,2712.633
Agartala,Tirupati,2054.143
Agartala,Tiruppur,2463.726
Agartala,Tumkur,2251.991
Agartala,Udaipur,2193.731
Agartala,Udupi,2516.115
Agartala,Ujjain,2016.992
Agartala,Vadodara,2283.612
Agartala,Varanasi,1061.011
Agartala,Vellore,2156.474
Agartala,Vijayawada,1626.831
Agartala,Visakhapatnam,1296.427
Agartala,Warangal,1778.400
Agra,Ahmedabad,913.175
Agra,Aizawl,1916.554
Agra,Ajmer,370.939
Agra,Akola,946.805
Agra,Aligarh,88.395
Agra,Alwar,162.826
Agra,Amravati,894.658
Agra,Amritsar,653.990
Agra,Anantapur,1693.329
Agra,Arrah,783.631
Agra,Aurangabad,753.510
Agra,Azamgarh,594.604
Agra,Ballari,1713.219
Agra,Bareilly,214.198
Agra,Bathinda,543.918
Agra,Begusarai,955.301
Agra,Belagavi,1561.603
Agra,Bengaluru,1970.907
Agra,Bhagalpur,1059.423
Agra,Bhopal,572.579
Agra,Bhubaneswar,1443.893
Agra,Bikaner,571.457
Agra,Bilaspur,898.706
Agra,Brahmapur,1462.154
Agra,Chandigarh,462.110
Agra,Chennai,1906.555
Agra,Coimbatore,2218.898
Agra,Darbhanga,901.143
Agra,Davangere,1764.505
Agra,Dehradun,421.791
Agra,Delhi,203.736
Agra,Deoghar,1061.504
Agra,Dhanbad,1000.320
Agra,Dibrugarh,2031.673
Agra,Dindigul,2331.275
Agra,Durgapur,1097.158
Agra,Erode,2214.865
Agra,Etawah,121.939
Agra,Farrukhabad,205.552
Agra,Gaya,831.491
Agra,Giridih,989.807
Agra,Gorakhpur,598.763
Agra,Guwahati,1619.075
Agra,Gwalior,119.528
Agra,Hazaribagh,911.176
Agra,Hisar,372.420
Agra,Hubballi,1647.756
Agra,Hyderabad,1316.282
Agra,Imphal,2078.821
Agra,Indore,669.237
Agra,Jabalpur,578.283
Agra,Jaipur,240.697
Agra,Jalandhar,570.886
Agra,Jalgaon,962.588
Agra,Jammu,789.425
Agra,Jamnagar,1141.701
Agra,Jamshedpur,1127.846
Agra,Jhansi,233.874
Agra,Jodhpur,573.138
Agra,Kakinada,1583.827
Agra,Kalaburagi,1410.549
Agra,Kanpur,280.062
Agra,Karnal,337.977
Agra,Karur,2255.579
Agra,Kochi,2358.322
Agra,Kolhapur,1478.368
Agra,Kolkata,1264.236
Agra,Kollam,2498.601
Agra,Korba,1038.694
Agra,Kota,404.292
Agra,Kozhikode,2233.500
Agra,Kurnool,1550.138
Agra,Latur,1347.688
Agra,Lucknow,327.344
Agra,Ludhiana,511.762
Agra,Madurai,2398.116
Agra,Mangaluru,1992.217
Agra,Mathura,59.097
Agra,Meerut,223.811
Agra,Moradabad,246.810
Agra,Mumbai,1268.852
Agra,Muzaffarnagar,280.555
Agra,Muzaffarpur,843.129
Agra,Mysuru,2026.278
Agra,Nagercoil,2613.986
Agra,Nagpur,822.093
Agra,Nanded,1159.258
Agra,Nashik,1083.527
Agra,Nellore,1730.974
Agra,Pathankot,681.779
Agra,Patiala,454.951
Agra,Patna,835.398
Agra,Prayagraj,473.939
Agra,Puducherry,2073.351
Agra,Pune,1269.877
Agra,Purnia,1089.464
Agra,Raipur,934.876
Agra,Rajamahendravaram,1558.742
Agra,Rajapalayam,2481.077
Agra,Rajkot,1125.736
Agra,Ranchi,1007.061
Agra,Ratlam,617.899
Agra,Rewa,580.997
Agra,Rohtak,276.418
Agra,Rourkela,1175.621
Agra,Saharanpur,363.735
Agra,Salem,2162.983
Agra,Sambalpur,1146.713
Agra,Satna,528.917
Agra,Saugor,435.835
Agra,Shillong,1707.674
Agra,Shimla,569.397
Agra,Shivamogga,1840.447
Agra,Sholapur,1383.137
Agra,Silchar,1847.364
Agra,Siliguri,1199.679
Agra,Sitapur,327.766
Agra,Sonipat,261.113
Agra,Srinagar,989.194
Agra,Surat,1009.058
Agra,Thanjavur,2216.852
Agra,Thiruvananthapuram,2569.957
Agra,Thrissur,2288.879
Agra,Tiruchirappalli,2211.479
Agra,Tirunelveli,2532.623
Agra,Tirupati,1868.565
Agra,Tiruppur,2258.781
Agra,Tumkur,1900.462
Agra,Udaipur,616.956
Agra,Udupi,1939.286
Agra,Ujjain,613.116
Agra,Vadodara,873.137
Agra,Varanasi,597.374
Agra,Vellore,1946.043
Agra,Vijayawada,1511.622
Agra,Visakhapatnam,1514.143
Agra,Warangal,1264.804
Ahmedabad,Aizawl,2648.113
Ahmedabad,Ajmer,519.638
Ahmedabad,Akola,640.434
Ahmedabad,Aligarh,959.333
Ahmedabad,Alwar,846.753
Ahmedabad,Amravati,735.611
Ahmedabad,Amritsar,1123.672
Ahmedabad,Anantapur,1273.107
Ahmedabad,Arrah,1509.221
Ahmedabad,Aurangabad,1479.747
Ahmedabad,Azamgarh,1394.583
Ahmedabad,Ballari,1173.211
Ahmedabad,Bareilly,1113.898
Ahmedabad,Bathinda,941.513
Ahmedabad,Begusarai,1679.001
Ahmedabad,Belagavi,1003.077
Ahmedabad,Bengaluru,1430.899
Ahmedabad,Bhagalpur,1783.123
Ahmedabad,Bhopal,572.011
Ahmedabad,Bhubaneswar,1673.630
Ahmedabad,Bikaner,653.475
Ahmedabad,Bilaspur,1188.676
Ahmedabad,Brahmapur,1652.982
Ahmedabad,Chandigarh,1128.032
Ahmedabad,Chennai,1672.884
Ahmedabad,Coimbatore,1678.890
Ahmedabad,Darbhanga,1717.550
Ahmedabad,Davangere,1224.496
Ahmedabad,Dehradun,1188.056
Ahmedabad,Delhi,970.001
Ahmedabad,Deoghar,1787.741
Ahmedabad,Dhanbad,1726.556
Ahmedabad,Dibrugarh,2848.080
Ahmedabad,Dindigul,1791.266
Ahmedabad,Durgapur,1823.394
Ahmedabad,Erode,1674.857
Ahmedabad,Etawah,1037.958
Ahmedabad,Farrukhabad,1121.570
Ahmedabad,Gaya,1557.728
Ahmedabad,Giridih,1716.043
Ahmedabad,Gorakhpur,1415.169
Ahmedabad,Guwahati,2435.483
Ahmedabad,Gwalior,878.300
Ahmedabad,Hazaribagh,1637.412
Ahmedabad,Hisar,919.271
Ahmedabad,Hubballi,1093.770
Ahmedabad,Hyderabad,1101.085
Ahmedabad,Imphal,2837.147
Ahmedabad,Indore,383.942
Ahmedabad,Jabalpur,875.481
Ahmedabad,Jaipur,649.810
Ahmedabad,Jalandhar,1101.383
Ahmedabad,Jalgaon,473.945
Ahmedabad,Jammu,1322.644
Ahmedabad,Jamnagar,307.514
Ahmedabad,Jamshedpur,1746.665
Ahmedabad,Jhansi,828.788
Ahmedabad,Jodhpur,449.303
Ahmedabad,Kakinada,1507.471
Ahmedabad,Kalaburagi,982.657
Ahmedabad,Kanpur,1058.221
Ahmedabad,Karnal,1031.298
Ahmedabad,Karur,1715.570
Ahmedabad,Kochi,1818.313
Ahmedabad,Kolhapur,864.880
Ahmedabad,Kolkata,1946.753
Ahmedabad,Kollam,1958.592
Ahmedabad,Korba,1272.163
Ahmedabad,Kota,541.434
Ahmedabad,Kozhikode,1693.491
Ahmedabad,Kurnool,1241.947
Ahmedabad,Latur,857.888
Ahmedabad,Lucknow,1140.249
Ahmedabad,Ludhiana,1085.594
Ahmedabad,Madurai,1858.108
Ahmedabad,Mangaluru,1387.915
Ahmedabad,Mathura,898.366
Ahmedabad,Meerut,1033.091
Ahmedabad,Moradabad,1139.868
Ahmedabad,Mumbai,506.770
Ahmedabad,Muzaffarnagar,1089.869
Ahmedabad,Muzaffarpur,1659.536
Ahmedabad,Mysuru,1486.269
Ahmedabad,Nagercoil,2073.977
Ahmedabad,Nagpur,829.548
Ahmedabad,Nanded,829.934
Ahmedabad,Nashik,456.767
Ahmedabad,Nellore,1563.458
Ahmedabad,Pathankot,1214.998
Ahmedabad,Patiala,1088.809
Ahmedabad,Patna,1559.098
Ahmedabad,Prayagraj,1241.014
Ahmedabad,Puducherry,1720.159
Ahmedabad,Pune,635.773
Ahmedabad,Purnia,1854.397
Ahmedabad,Raipur,1114.992
Ahmedabad,Rajamahendravaram,1449.516
Ahmedabad,Rajapalayam,1941.068
Ahmedabad,Rajkot,218.480
Ahmedabad,Ranchi,1617.257
Ahmedabad,Ratlam,323.502
Ahmedabad,Rewa,1099.364
Ahmedabad,Rohtak,923.113
Ahmedabad,Rourkela,1549.341
Ahmedabad,Saharanpur,1130.000
Ahmedabad,Salem,1622.975
Ahmedabad,Sambalpur,1385.960
Ahmedabad,Satna,1070.600
Ahmedabad,Saugor,776.749
Ahmedabad,Shillong,2524.081
Ahmedabad,Shimla,1226.897
Ahmedabad,Shivamogga,1300.439
Ahmedabad,Sholapur,843.128
Ahmedabad,Silchar,2578.923
Ahmedabad,Siliguri,2016.086
Ahmedabad,Sitapur,1243.785
Ahmedabad,Sonipat,949.460
Ahmedabad,Srinagar,1522.413
Ahmedabad,Surat,246.976
Ahmedabad,Thanjavur,1804.296
Ahmedabad,Thiruvananthapuram,2029.948
Ahmedabad,Thrissur,1748.871
Ahmedabad,Tiruchirappalli,1757.283
Ahmedabad,Tirunelveli,1992.614
Ahmedabad,Tirupati,1553.774
Ahmedabad,Tiruppur,1718.773
Ahmedabad,Tumkur,1360.454
Ahmedabad,Udaipur,253.049
Ahmedabad,Udupi,1334.985
Ahmedabad,Ujjain,390.765
Ahmedabad,Vadodara,110.486
Ahmedabad,Varanasi,1367.962
Ahmedabad,Vellore,1577.463
Ahmedabad,Vijayawada,1365.989
Ahmedabad,Visakhapatnam,1633.509
Ahmedabad,Warangal,1141.314
Aizawl,Ajmer,2307.006
Aizawl,Akola,2089.482
Aizawl,Aligarh,1982.688
Aizawl,Alwar,2098.893
Aizawl,Amravati,1992.302
Aizawl,Amritsar,2527.774
Aizawl,Anantapur,2382.064
Aizawl,Arrah,1225.317
Aizawl,Aurangabad,1184.747
Aizawl,Azamgarh,1429.132
Aizawl,Ballari,2419.994
Aizawl,Bareilly,1906.685
Aizawl,Bathinda,2471.586
Aizawl,Begusarai,1074.053
Aizawl,Belagavi,2729.704
Aizawl,Bengaluru,2529.733
Aizawl,Bhagalpur,975.034
Aizawl,Bhopal,2091.191
Aizawl,Bhubaneswar,1141.259
Aizawl,Bikaner,2507.524
Aizawl,Bilaspur,1494.717
Aizawl,Brahmapur,1310.354
Aizawl,Chandigarh,2354.682
Aizawl,Chennai,2377.821
Aizawl,Coimbatore,2799.905
Aizawl,Darbhanga,1185.733
Aizawl,Davangere,2614.548
Aizawl,Dehradun,2204.965
Aizawl,Delhi,2127.321
Aizawl,Deoghar,930.315
Aizawl,Dhanbad,947.252
Aizawl,Dibrugarh,697.348
Aizawl,Dindigul,2796.973
Aizawl,Durgapur,846.657
Aizawl,Erode,2694.579
Aizawl,Etawah,1817.304
Aizawl,Farrukhabad,1827.391
Aizawl,Gaya,1158.677
Aizawl,Giridih,990.311
Aizawl,Gorakhpur,1484.202
Aizawl,Guwahati,471.696
Aizawl,Gwalior,1927.496
Aizawl,Hazaribagh,1065.983
Aizawl,Hisar,2311.117
Aizawl,Hubballi,2630.129
Aizawl,Hyderabad,2133.295
Aizawl,Imphal,404.418
Aizawl,Indore,2267.022
Aizawl,Jabalpur,1808.367
Aizawl,Jaipur,2176.765
Aizawl,Jalandhar,2447.864
Aizawl,Jalgaon,2265.354
Aizawl,Jammu,2666.403
Aizawl,Jamnagar,2955.863
Aizawl,Jamshedpur,983.334
Aizawl,Jhansi,1884.129
Aizawl,Jodhpur,2509.206
Aizawl,Kakinada,1724.092
Aizawl,Kalaburagi,2370.859
Aizawl,Kanpur,1688.790
Aizawl,Karnal,2198.958
Aizawl,Karur,2721.277
Aizawl,Kochi,2981.346
Aizawl,Kolhapur,2664.305
Aizawl,Kolkata,709.888
Aizawl,Kollam,3107.224
Aizawl,Korba,1464.207
Aizawl,Kota,2205.224
Aizawl,Kozhikode,2878.055
Aizawl,Kurnool,2249.338
Aizawl,Latur,2324.132
Aizawl,Lucknow,1644.038
Aizawl,Ludhiana,2387.957
Aizawl,Madurai,2828.387
Aizawl,Mangaluru,2847.670
Aizawl,Mathura,1998.904
Aizawl,Meerut,2087.996
Aizawl,Moradabad,1996.345
Aizawl,Mumbai,2588.748
Aizawl,Muzaffarnagar,2144.739
Aizawl,Muzaffarpur,1243.358
Aizawl,Mysuru,2670.832
Aizawl,Nagercoil,3079.684
Aizawl,Nagpur,1816.656
Aizawl,Nanded,2205.259
Aizawl,Nashik,2436.572
Aizawl,Nellore,2202.240
Aizawl,Pathankot,2558.756
Aizawl,Patiala,2331.579
Aizawl,Patna,1174.214
Aizawl,Prayagraj,1468.113
Aizawl,Puducherry,2544.617
Aizawl,Pune,2490.672
Aizawl,Purnia,860.359
Aizawl,Raipur,1531.016
Aizawl,Rajamahendravaram,1759.872
Aizawl,Rajapalayam,2946.774
Aizawl,Rajkot,2866.828
Aizawl,Ranchi,1100.658
Aizawl,Ratlam,2415.943
Aizawl,Rewa,1561.565
Aizawl,Rohtak,2200.050
Aizawl,Rourkela,1158.111
Aizawl,Saharanpur,2218.529
Aizawl,Salem,2630.182
Aizawl,Sambalpur,1258.037
Aizawl,Satna,1620.075
Aizawl,Saugor,1920.860
Aizawl,Shillong,374.081
Aizawl,Shimla,2446.782
Aizawl,Shivamogga,2656.179
Aizawl,Sholapur,2450.477
Aizawl,Silchar,168.890
Aizawl,Siliguri,884.456
Aizawl,Sitapur,1731.154
Aizawl,Sonipat,2158.803
Aizawl,Srinagar,2866.172
Aizawl,Surat,2586.841
Aizawl,Thanjavur,2705.347
Aizawl,Thiruvananthapuram,3148.414
Aizawl,Thrissur,2905.761
Aizawl,Tiruchirappalli,2699.974
Aizawl,Tirunelveli,2998.321
Aizawl,Tirupati,2339.831
Aizawl,Tiruppur,2749.414
Aizawl,Tumkur,2537.679
Aizawl,Udaipur,2479.419
Aizawl,Udupi,2801.803
Aizawl,Ujjain,2302.680
Aizawl,Vadodara,2569.300
Aizawl,Varanasi,1346.700
Aizawl,Vellore,2442.163
Aizawl,Vijayawada,1912.519
Aizawl,Visakhapatnam,1582.115
Aizawl,Warangal,2064.089
Ajmer,Akola,928.567
Ajmer,Aligarh,415.547
Ajmer,Alwar,266.254
Ajmer,Amravati,876.420
Ajmer,Amritsar,736.573
Ajmer,Anantapur,1627.268
Ajmer,Arrah,1155.863
Ajmer,Aurangabad,1125.743
Ajmer,Azamgarh,966.836
Ajmer,Ballari,1527.372
Ajmer,Bareilly,570.111
Ajmer,Bathinda,554.414
Ajmer,Begusarai,1327.533
Ajmer,Belagavi,1375.756
Ajmer,Bengaluru,1785.060
Ajmer,Bhagalpur,1431.656
Ajmer,Bhopal,549.293
Ajmer,Bhubaneswar,1744.392
Ajmer,Bikaner,263.303
Ajmer,Bilaspur,1177.745
Ajmer,Brahmapur,1723.744
Ajmer,Chandigarh,611.087
Ajmer,Chennai,1984.772
Ajmer,Coimbatore,2033.051
Ajmer,Darbhanga,1273.376
Ajmer,Davangere,1578.658
Ajmer,Dehradun,644.426
Ajmer,Delhi,426.371
Ajmer,Deoghar,1433.737
Ajmer,Dhanbad,1372.552
Ajmer,Dibrugarh,2403.905
Ajmer,Dindigul,2145.428
Ajmer,Durgapur,1469.390
Ajmer,Erode,2029.018
Ajmer,Etawah,494.171
Ajmer,Farrukhabad,577.784
Ajmer,Gaya,1203.724
Ajmer,Giridih,1362.039
Ajmer,Gorakhpur,970.995
Ajmer,Guwahati,1991.308
Ajmer,Gwalior,446.347
Ajmer,Hazaribagh,1283.409
Ajmer,Hisar,397.283
Ajmer,Hubballi,1461.908
Ajmer,Hyderabad,1314.265
Ajmer,Imphal,2451.053
Ajmer,Indore,509.492
Ajmer,Jabalpur,815.364
Ajmer,Jaipur,132.864
Ajmer,Jalandhar,714.284
Ajmer,Jalgaon,776.741
Ajmer,Jammu,935.546
Ajmer,Jamnagar,773.477
Ajmer,Jamshedpur,1500.078
Ajmer,Jhansi,526.056
Ajmer,Jodhpur,204.914
Ajmer,Kakinada,1709.178
Ajmer,Kalaburagi,1301.619
Ajmer,Kanpur,652.295
Ajmer,Karnal,514.353
Ajmer,Karur,2069.731
Ajmer,Kochi,2172.474
Ajmer,Kolhapur,1326.724
Ajmer,Kolkata,1636.468
Ajmer,Kollam,2312.753
Ajmer,Korba,1261.232
Ajmer,Kota,207.513
Ajmer,Kozhikode,2047.652
Ajmer,Kurnool,1507.168
Ajmer,Latur,1161.840
Ajmer,Lucknow,699.577
Ajmer,Ludhiana,635.886
Ajmer,Madurai,2212.269
Ajmer,Mangaluru,1806.370
Ajmer,Mathura,354.580
Ajmer,Meerut,489.461
Ajmer,Moradabad,596.238
Ajmer,Mumbai,968.614
Ajmer,Muzaffarnagar,546.239
Ajmer,Muzaffarpur,1215.362
Ajmer,Mysuru,1840.430
Ajmer,Nagercoil,2428.139
Ajmer,Nagpur,900.310
Ajmer,Nanded,1043.115
Ajmer,Nashik,918.611
Ajmer,Nellore,1809.191
Ajmer,Pathankot,827.899
Ajmer,Patiala,566.821
Ajmer,Patna,1207.630
Ajmer,Prayagraj,846.171
Ajmer,Puducherry,2074.320
Ajmer,Pune,1097.617
Ajmer,Purnia,1461.696
Ajmer,Raipur,1185.753
Ajmer,Rajamahendravaram,1651.223
Ajmer,Rajapalayam,2295.229
Ajmer,Rajkot,741.666
Ajmer,Ranchi,1379.293
Ajmer,Ratlam,404.221
Ajmer,Rewa,854.442
Ajmer,Rohtak,406.168
Ajmer,Rourkela,1547.854
Ajmer,Saharanpur,564.387
Ajmer,Salem,1977.136
Ajmer,Sambalpur,1456.722
Ajmer,Satna,799.426
Ajmer,Saugor,657.390
Ajmer,Shillong,2079.906
Ajmer,Shimla,709.952
Ajmer,Shivamogga,1654.600
Ajmer,Sholapur,1197.290
Ajmer,Silchar,2219.597
Ajmer,Siliguri,1571.911
Ajmer,Sitapur,699.999
Ajmer,Sonipat,432.515
Ajmer,Srinagar,1135.314
Ajmer,Surat,708.820
Ajmer,Thanjavur,2158.457
Ajmer,Thiruvananthapuram,2384.110
Ajmer,Thrissur,2103.032
Ajmer,Tiruchirappalli,2111.445
Ajmer,Tirunelveli,2346.776
Ajmer,Tirupati,1844.579
Ajmer,Tiruppur,2072.934
Ajmer,Tumkur,1714.615
Ajmer,Udaipur,264.302
Ajmer,Udupi,1753.439
Ajmer,Ujjain,453.371
Ajmer,Vadodara,574.918
Ajmer,Varanasi,969.606
Ajmer,Vellore,1931.624
Ajmer,Vijayawada,1589.840
Ajmer,Visakhapatnam,1721.182
Ajmer,Warangal,1343.021
Akola,Aligarh,1014.999
Akola,Alwar,1022.981
Akola,Amravati,94.963
Akola,Amritsar,1581.044
Akola,Anantapur,819.375
Akola,Arrah,1190.765
Akola,Aurangabad,1161.290
Akola,Azamgarh,1079.724
Akola,Ballari,769.630
Akola,Bareilly,1175.851
Akola,Bathinda,1470.972
Akola,Begusarai,1360.545
Akola,Belagavi,711.080
Akola,Bengaluru,1030.481
Akola,Bhagalpur,1464.667
Akola,Bhopal,377.758
Akola,Bhubaneswar,1117.751
Akola,Bikaner,1188.984
Akola,Bilaspur,672.081
Akola,Brahmapur,1097.102
Akola,Chandigarh,1414.740
Akola,Chennai,1121.809
Akola,Coimbatore,1326.350
Akola,Darbhanga,1367.179
Akola,Davangere,856.740
Akola,Dehradun,1364.284
Akola,Delhi,1146.229
Akola,Deoghar,1354.420
Akola,Dhanbad,1256.691
Akola,Dibrugarh,2492.285
Akola,Dindigul,1380.997
Akola,Durgapur,1362.808
Akola,Erode,1264.588
Akola,Etawah,918.401
Akola,Farrukhabad,1018.344
Akola,Gaya,1239.271
Akola,Giridih,1286.382
Akola,Gorakhpur,1161.680
Akola,Guwahati,2079.688
Akola,Gwalior,796.175
Akola,Hazaribagh,1197.395
Akola,Hisar,1242.764
Akola,Hubballi,739.991
Akola,Hyderabad,483.281
Akola,Imphal,2281.267
Akola,Indore,320.567
Akola,Jabalpur,557.026
Akola,Jaipur,957.309
Akola,Jalandhar,1497.940
Akola,Jalgaon,181.220
Akola,Jammu,1716.479
Akola,Jamnagar,907.000
Akola,Jamshedpur,1219.780
Akola,Jhansi,720.434
Akola,Jodhpur,1024.671
Akola,Kakinada,889.667
Akola,Kalaburagi,463.421
Akola,Kanpur,901.842
Akola,Karnal,1289.438
Akola,Karur,1305.301
Akola,Kochi,1465.774
Akola,Kolhapur,645.680
Akola,Kolkata,1390.874
Akola,Kollam,1606.053
Akola,Korba,755.924
Akola,Kota,717.662
Akola,Kozhikode,1340.952
Akola,Kurnool,676.184
Akola,Latur,309.349
Akola,Lucknow,983.830
Akola,Ludhiana,1438.816
Akola,Madurai,1447.838
Akola,Mangaluru,1096.398
Akola,Mathura,1074.594
Akola,Meerut,1209.319
Akola,Moradabad,1265.511
Akola,Mumbai,571.555
Akola,Muzaffarnagar,1266.097
Akola,Muzaffarpur,1300.910
Akola,Mysuru,1133.730
Akola,Nagercoil,1663.708
Akola,Nagpur,277.695
Akola,Nanded,212.131
Akola,Nashik,419.379
Akola,Nellore,946.227
Akola,Pathankot,1608.833
Akola,Patiala,1382.005
Akola,Patna,1240.641
Akola,Prayagraj,916.120
Akola,Puducherry,1225.154
Akola,Pune,473.479
Akola,Purnia,1535.940
Akola,Raipur,559.112
Akola,Rajamahendravaram,831.712
Akola,Rajapalayam,1530.799
Akola,Rajkot,817.966
Akola,Ranchi,1101.019
Akola,Ratlam,488.013
Akola,Rewa,780.908
Akola,Rohtak,1203.472
Akola,Rourkela,994.625
Akola,Saharanpur,1306.228
Akola,Salem,1212.705
Akola,Sambalpur,830.080
Akola,Satna,752.144
Akola,Saugor,540.659
Akola,Shillong,2045.065
Akola,Shimla,1513.604
Akola,Shivamogga,932.683
Akola,Sholapur,444.134
Akola,Silchar,2023.043
Akola,Siliguri,1660.291
Akola,Sitapur,1077.978
Akola,Sonipat,1189.482
Akola,Srinagar,1916.248
Akola,Surat,502.706
Akola,Thanjavur,1342.898
Akola,Thiruvananthapuram,1732.438
Akola,Thrissur,1396.331
Akola,Tiruchirappalli,1337.525
Akola,Tirunelveli,1582.345
Akola,Tirupati,1013.595
Akola,Tiruppur,1308.503
Akola,Tumkur,992.697
Akola,Udaipur,767.654
Akola,Udupi,1043.467
Akola,Ujjain,370.380
Akola,Vadodara,530.877
Akola,Varanasi,1015.421
Akola,Vellore,1072.089
Akola,Vijayawada,748.186
Akola,Visakhapatnam,1015.705
Akola,Warangal,523.510
Aligarh,Alwar,175.067
Aligarh,Amravati,985.124
Aligarh,Amritsar,590.957
Aligarh,Anantapur,1783.795
Aligarh,Arrah,787.360
Aligarh,Aurangabad,792.906
Aligarh,Azamgarh,598.333
Aligarh,Ballari,1756.322
Aligarh,Bareilly,178.574
Aligarh,Bathinda,498.049
Aligarh,Begusarai,959.029
Aligarh,Belagavi,1604.706
Aligarh,Bengaluru,2014.009
Aligarh,Bhagalpur,1063.152
Aligarh,Bhopal,663.045
Aligarh,Bhubaneswar,1483.289
Aligarh,Bikaner,526.157
Aligarh,Bilaspur,989.172
Aligarh,Brahmapur,1552.620
Aligarh,Chandigarh,386.263
Aligarh,Chennai,1997.021
Aligarh,Coimbatore,2262.001
Aligarh,Darbhanga,904.872
Aligarh,Davangere,1807.607
Aligarh,Dehradun,327.844
Aligarh,Delhi,143.730
Aligarh,Deoghar,1100.900
Aligarh,Dhanbad,1039.716
Aligarh,Dibrugarh,2035.402
Aligarh,Dindigul,2374.377
Aligarh,Durgapur,1136.553
Aligarh,Erode,2257.968
Aligarh,Etawah,181.946
Aligarh,Farrukhabad,184.688
Aligarh,Gaya,870.887
Aligarh,Giridih,1029.203
Aligarh,Gorakhpur,602.491
Aligarh,Guwahati,1622.804
Aligarh,Gwalior,209.994
Aligarh,Hazaribagh,950.572
Aligarh,Hisar,337.581
Aligarh,Hubballi,1690.858
Aligarh,Hyderabad,1406.748
Aligarh,Imphal,2082.550
